Date,index,Cbd_Regional,total,left,left_avg,year,day,hour
2019-04-28,117,cbd,5.0,3.0,1.0,2019.0,28.0,11.0
2019-04-29,118,cbd,6.0,3.0,1.0,2019.0,29.0,11.0
2019-04-30,119,cbd,5.0,3.0,1.0,2019.0,30.0,12.0
2019-05-01,120,cbd,5.0,3.0,1.0,2019.0,1.0,12.0
2019-05-02,121,cbd,6.0,3.0,1.0,2019.0,2.0,12.0
2019-05-03,122,cbd,10.0,6.0,1.0,2019.0,3.0,12.0
2019-05-04,123,cbd,7.0,4.0,1.0,2019.0,4.0,12.0
2019-05-05,124,cbd,4.0,2.0,1.0,2019.0,5.0,12.0
2019-05-06,125,cbd,6.0,3.0,1.0,2019.0,6.0,12.0
2019-05-07,126,cbd,5.0,3.0,1.0,2019.0,7.0,12.0
2019-05-08,127,cbd,5.0,3.0,1.0,2019.0,8.0,12.0
2019-05-09,128,cbd,5.0,3.0,1.0,2019.0,9.0,12.0
2019-05-10,129,cbd,5.0,3.0,1.0,2019.0,10.0,13.0
2019-05-11,130,cbd,7.0,4.0,1.0,2019.0,11.0,10.0
2019-05-12,131,cbd,5.0,2.0,1.0,2019.0,12.0,11.0
2019-05-13,132,cbd,7.0,4.0,1.0,2019.0,13.0,11.0
2019-05-14,133,cbd,6.0,3.0,1.0,2019.0,14.0,12.0
2019-05-15,134,cbd,6.0,3.0,1.0,2019.0,15.0,12.0
2019-05-16,135,cbd,6.0,4.0,1.0,2019.0,16.0,11.0
2019-05-17,136,cbd,6.0,4.0,1.0,2019.0,17.0,12.0
2019-05-18,137,cbd,6.0,3.0,1.0,2019.0,18.0,12.0
2019-05-19,138,cbd,4.0,2.0,1.0,2019.0,19.0,12.0
2019-05-20,139,cbd,4.0,3.0,1.0,2019.0,20.0,10.0
2019-05-21,140,cbd,6.0,3.0,1.0,2019.0,21.0,11.0
2019-05-22,141,cbd,6.0,3.0,1.0,2019.0,22.0,11.0
2019-05-23,142,cbd,6.0,3.0,1.0,2019.0,23.0,11.0
2019-05-24,143,cbd,5.0,3.0,1.0,2019.0,24.0,14.0
2019-05-25,144,cbd,11.0,7.0,1.0,2019.0,25.0,6.0
2019-05-26,145,cbd,2.0,1.0,1.0,2019.0,26.0,16.0
2019-05-27,146,cbd,4.0,2.0,1.0,2019.0,27.0,12.0
2019-05-28,147,cbd,5.0,3.0,1.0,2019.0,28.0,11.0
