,Area,Total_dwellings_2016,Train_2016,pop_2016,LUM,LUMquintile,TrainDistThresh,TrainPres,BusDistThresh,BusPres,AccUtDestPres,AccUtDestPresquintile,AccUtDestDist,AccUtDestDistquintile,SprtLeiDens,SprtLeiDensquintile,SprtLeiDist,SprtLeiDistquintile,POSDist,POSDistquintile,POSAreaPct,POSAreaPctquintile,TakeawayDens,TakeawayDensquintile,TakeawayDist,TakeawayDistquintile,HealthyFoodDensity,HealthyFoodDensityquintile,HealthyFoodDist,HealthyFoodDistquintile,GrossDwlDens,GrossDwlDensquintile,StrtConn,StrtConnquintile,ActCenDist,ActCenDistquintile,TobPopDensp1000,TobPopDensp1000quintile,TobTobVendDist,TobTobVendDistquintile,RatioTrailsToRoads,RatioTrailsToRoadsquintile
13,Marcus Hill,68,0,159,0.391454591,3,0,0,1,1,2,2,1,2,0.0,1,2756.675409,3,662.5835,4,0.07212908900000001,1,0.052660672,2,1960.876252,4,0.0,1,3240.482013,4,0.039792557,1,3.7208624410000004,2,23135.67494,5,11.04972376,5,2025.788123,4,0.398211146,5
14,Ceres,89,3,254,0.0,1,0,0,0,0,0,1,0,1,0.0,1,5734.185379,4,900.7222039999999,5,0.011667928999999999,1,0.0,1,5544.01684,5,0.0,1,5577.901822999999,5,0.07321372799999999,2,2.73545796,1,8282.352266,3,0.0,1,5310.662042,5,0.10064376,2
15,Herne Hill,1749,27,3413,0.399802371,3,0,0,1,1,3,2,4,3,0.0,1,1665.0260529999998,2,213.2463755,2,0.12342606199999999,4,0.31733207399999996,5,433.4788046,1,0.0,1,1526.5381539999998,3,11.31588913,5,63.97675835,5,3908.636859,1,1.203007519,3,442.8184984,1,0.222255703,4
16,Manifold Heights,1181,42,2649,0.188262116,2,1,0,1,1,3,2,7,3,0.072114522,5,684.8111576,1,317.1240923,3,0.016929688000000002,1,0.072114522,3,324.776829,1,0.072114522,5,578.467689,1,11.86933222,5,74.71701939,5,2775.464709,1,0.384172109,2,407.91711139999995,1,0.006321343,1
17,Breamlea,113,2,162,0.040144734,1,0,0,0,1,3,2,1,3,0.0,1,9871.009855,5,186.6770536,1,0.582522665,5,0.06388698,3,4436.6264,4,0.0,1,6209.626633,5,0.069636885,2,1.635599425,1,20041.557569999997,4,2.252252252,4,1708.7440609999999,4,0.5157238439999999,5
18,Moorabool,37,0,90,0.027620726,1,0,0,0,0,1,1,0,1,0.0,1,6152.082272,4,2143.302225,5,0.0014749829999999998,1,0.025426393,2,3780.604601,4,0.025426393,2,4320.535296999999,4,0.015722062,1,0.8202814970000001,1,10976.57883,3,0.0,1,4948.392657,5,0.0,1
19,Leopold,5219,107,12814,0.318900425,3,0,0,1,1,5,3,3,4,0.0,1,6613.058659,5,241.5395642,2,0.035066942000000004,1,0.088330768,3,744.2108958,2,0.01962906,2,1179.752468,2,1.45067135,3,13.10329995,3,11553.166879999999,4,0.7903576370000001,2,793.5022202,3,0.17338627399999998,4
20,Batesford,295,7,952,0.39053797700000004,3,0,0,0,1,2,2,2,2,0.0,1,5173.54393,4,962.8870155999999,5,0.008104883,1,0.053524367,3,1311.253129,3,0.0,1,4340.933981,4,0.25236764100000003,2,3.589712128,2,8868.561512,3,2.7100271,4,508.56634979999995,1,0.044317755,1
21,Wallington,468,0,1364,0.113654506,1,0,0,1,1,3,2,1,3,0.023180397999999998,3,3235.331181,4,869.4269658,4,0.18523198,4,0.046360797,2,1932.4542649999999,4,0.023180397999999998,2,2503.5533010000004,3,0.11959912800000001,2,3.47827441,2,18305.76432,4,1.5503875969999998,3,2600.224816,4,0.048704262000000005,2
22,Point Lonsdale,2390,0,2684,0.487151995,4,0,0,1,1,2,2,1,2,0.0,1,5021.459845,4,136.862113,1,0.008054826,1,0.0,1,6670.948315,5,0.0,1,6670.948315,5,6.569043781,4,52.52900402,5,28127.45216,5,0.0,1,2022.316206,4,0.0,1
