Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
15 Stradling Avenue,"726,000",Oct 2007,,,,,,637,,4,2,1,Drumcondra,7
3 Glenleith Avenue,"655,000",Oct 2007,,,,,,823,,4,2,,Drumcondra,7
5 Bell Parade,"390,000",Oct 2007,,,,,,656,271,4,3,,Drumcondra,7
3/21 Drumcondra Avenue,"175,000",Sep 2007,"82,000",Apr 1990,,210,Sep 2014,114,,,,,Drumcondra,7
65 The Esplanade,"1,712,000",Aug 2007,,,,,,910,,4,2,2,Drumcondra,7
67 Melbourne Road,"720,000",Jul 2007,"280,000",Sep 1998,,,,"2,168",,,,,Drumcondra,7
17 Lunan Avenue,"585,000",Mar 2007,"210,000",Mar 1999,,,,611,222,3,1,2,Drumcondra,7
18 Lunan Avenue,"420,000",Jan 2007,,,,270,Mar 2007,653,310,4,1,2,Drumcondra,7
3 Wattletree Road,"560,000",Oct 2006,"167,000",Nov 1993,,,,625,195,4,2,1,Drumcondra,7
1 Stradling Avenue,"530,000",Sep 2006,,,,,,646,,3,2,,Drumcondra,7
31 Glenleith Avenue,"260,000",Aug 2006,"155,000",Aug 2001,,170,Jan 2005,482,167,3,1,1,Drumcondra,7
22 Grandview Grove,"625,000",Dec 2005,"493,800",Aug 2001,,,,618,,5,2,2,Drumcondra,7
25 The Esplanade,"2,400,000",Jun 2005,,,,,,"1,392",,,,,Drumcondra,7
10 Lunan Avenue,"435,500",Nov 2004,,,,,,653,238,4,2,1,Drumcondra,7
5 The Esplanade,"1,415,000",May 2004,,,,,,893,,,,,Drumcondra,7
1/1 Glenleith Avenue,"360,000",May 2004,,,,,,317,,,,,Drumcondra,7
2/12 Glenleith Avenue,"250,000",Feb 2004,,,,,,200,,,,,Drumcondra,7
12 Beach Parade,"625,000",Feb 2004,"164,000",Dec 1988,,,,552,260,5,3,2,Drumcondra,7
15 Grandview Grove,"529,000",Dec 2003,,,,,,625,,2,,,Drumcondra,7
3/10B The Esplanade,"768,000",Aug 2003,,,,,,264,,,,,Drumcondra,7
13 Bell Parade,"427,000",Jul 2003,"116,500",Oct 1991,,,,653,,5,2,2,Drumcondra,7
1 Wattletree Road,"390,000",Jan 2003,,,,,,624,,3,3,3,Drumcondra,7
11 The Esplanade,"1,341,000",Dec 2002,"575,000",Dec 1989,,,,891,,,,,Drumcondra,7
29 Beach Parade,"526,000",Nov 2002,"120,000",Jun 1996,,,,613,,3,2,1,Drumcondra,7
18 Glenleith Avenue,"438,500",Oct 2002,"167,500",Aug 1987,,,,,,4,4,2,Drumcondra,7
1/15 The Esplanade,"1,500,000",Jun 2002,,,,,,,,,,,Drumcondra,7
14 Drumcondra Avenue,"365,000",Jun 2002,,,,300,Jun 2009,625,,,,,Drumcondra,7
12 Drumcondra Avenue,"380,000",May 2002,"95,000",Feb 1989,,,,625,,3,3,3,Drumcondra,7
29 Melbourne Road,"275,000",Apr 2002,,,,,,,,,,,Drumcondra,7
17 Wattletree Road,"255,000",Dec 2001,"125,000",Aug 1994,,350,Dec 2019,613,,2,1,3,Drumcondra,7
15 Bell Parade,"285,000",Nov 2001,,,,,,652,271,3,2,2,Drumcondra,7
7 Lunan Avenue,"240,000",Oct 2001,"185,000",Aug 2000,,,,611,,3,3,3,Drumcondra,7
23 Drumcondra Avenue,"305,000",Jul 2001,,,,360,Sep 2016,613,170,3,1,1,Drumcondra,7
7 Drumcondra Avenue,"362,500",Apr 2001,"118,500",Jul 1995,,,,625,,2,3,3,Drumcondra,7
1/21 Drumcondra Avenue,"135,000",Apr 2001,,,,300,Aug 2018,236,,,,,Drumcondra,7
33 Gleneith Avenue,"89,000",Apr 2001,,,,,,,,,,,Drumcondra,7
3/21 The Esplanade,"170,000",Mar 2001,,,,350,Aug 2011,,,,,,Drumcondra,7
1 Melbourne Road,"261,000",Mar 2001,,,,,,529,,2,2,2,Drumcondra,7
10 Beach Parade,"275,000",Feb 2001,,,,,,797,203,3,2,2,Drumcondra,7
1A Lunan Avenue,"225,000",Feb 2001,,,,,,550,,3,3,3,Drumcondra,7
1 Lunan Avenue,"225,000",Feb 2001,"143,000",Sep 1998,,360,Jul 2019,615,155,3,1,1,Drumcondra,7
61 The Esplanade,"850,000",Jan 2001,,,,,,"1,272",,,,,Drumcondra,7
3 Mont Albert Road,"153,000",Nov 2000,,,,,,,,,,,Drumcondra,7
18 Wattletree Road,"360,000",Sep 2000,"200,000",May 1991,,,,613,,,,,Drumcondra,7
12 Wattletree Road,"315,000",Sep 2000,"89,500",Jun 1986,,,,625,,3,3,3,Drumcondra,7
1/14A Glenleith Avenue,"120,000",Aug 2000,,,,,,,,,,,Drumcondra,7
24 Grandview Grove,"210,000",Apr 2000,"100,000",Jul 1990,,,,617,,3,,,Drumcondra,7
7 Grandview Grove,"335,000",Feb 2000,"235,000",Mar 1995,,,,625,,5,3,2,Drumcondra,7
43 The Esplanade,"900,000",Feb 2000,,,,,,"1,221",,,,,Drumcondra,7
12 Mcmillan Avenue,"285,000",Feb 2000,,,,,,,,,,,Drumcondra,7
3 Mcmillan Avenue,"67,500",Feb 2000,,,,,,,,,,,Drumcondra,7
7 Mcmillan Avenue,"62,000",Feb 2000,,,,,,,,,,,Drumcondra,7
6 Mont Albert Road,"148,500",Feb 2000,,,,,,,,,,,Drumcondra,7
33 Beach Parade,"112,000",Feb 2000,,,,,,610,,4,3,3,Drumcondra,7
8 Drumcondra Avenue,"113,000",Feb 2000,,,,,,625,,5,2,2,Drumcondra,7
4 Lunan Avenue,"100,000",Feb 2000,,,,,,653,,3,3,3,Drumcondra,7
2/26 Lunan Avenue,"275,000",Feb 2000,,,,,,232,,,,,Drumcondra,7
7 Beach Parade,"227,500",Feb 2000,"56,500",Jan 1990,,,,613,285,4,2,2,Drumcondra,7
8 Grandview Grove,"165,000",Feb 2000,,,,,,637,,3,,,Drumcondra,7
13 Lunan Avenue,"270,000",Feb 2000,"170,000",Jan 1997,,,,611,,,,,Drumcondra,7
1 Toorak Parade,"114,000",Feb 2000,,,,550,Jun 2011,,,4,2,2,Drumcondra,7
