Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
13 Sunshine Avenue,"510,000",Nov 2020,"179,000",Mar 2013,,430,Dec 2014,447,182,4,2,2,Armstrong Creek,1
18-20 Honey Suckle Way,"721,000",Nov 2020,,,,,,678,,,,,Armstrong Creek,1
150/7 Crystall Place,"245,000",Nov 2020,,,,,,,,,,,Armstrong Creek,1
Lot 150 7 Crystall Place,"245,000",Nov 2020,,,,,,,,,,,Armstrong Creek,1
8 Whitecliff Way,"537,000",Nov 2020,"183,000",Mar 2011,,,,451,,,,,Armstrong Creek,1
Lot 736 Fawkner Crescent (Anchoridge),"404,600",Nov 2020,,,,,,313,,3,2,2,Armstrong Creek,1
34 Whitecliff Way,"655,000",Nov 2020,"190,000",Dec 2014,,"190,000",May 2014,579,241,,,,Armstrong Creek,1
Lot 740 Fawkner Crescent (Anchoridge),"427,100",Nov 2020,,,,,,313,,4,2,2,Armstrong Creek,1
145 Coastside Drive,"672,500",Nov 2020,,,,,,537,,,,,Armstrong Creek,1
56 Carisbrook Street,"572,500",Nov 2020,,,,,,398,,,,,Armstrong Creek,1
5 Honey Suckle Way,"475,000",Nov 2020,"127,000",Dec 2013,,360,Jul 2017,443,151,3,2,2,Armstrong Creek,1
23 Middleton Road,"601,000",Nov 2020,,,,,,381,,4,2,2,Armstrong Creek,1
19 Shearwater Drive,"481,000",Nov 2020,"189,500",May 2017,,380,May 2018,420,,4,2,2,Armstrong Creek,1
6 ACKLAND Street,"580,000",Nov 2020,"169,000",Nov 2015,,,,456,,4,2,2,Armstrong Creek,1
199 Warralily Boulevard,"582,500",Nov 2020,"162,000",Dec 2015,,410,Dec 2018,476,,4,2,2,Armstrong Creek,1
2 Hooper Street,"650,000",Nov 2020,,,,,,560,,4,2,2,Armstrong Creek,1
20-22 Daybreak Avenue,"565,000",Nov 2020,,,,,,,,,,,Armstrong Creek,1
10 Burgess Avenue,"455,000",Nov 2020,,,,,,237,,,,,Armstrong Creek,1
14 Lismore Street,"515,000",Nov 2020,,,,,,350,,4,2,2,Armstrong Creek,1
13 McKinley Avenue,"480,000",Nov 2020,,,,,,236,,3,2,1,Armstrong Creek,1
17 Miramar Drive,"279,000",Nov 2020,,,,,,399,,,,,Armstrong Creek,1
12 Whitfords Drive,"630,000",Oct 2020,"625,000",Jul 2018,,,,505,227,4,2,2,Armstrong Creek,1
66 Creekward Drive,"560,000",Oct 2020,"149,000",Apr 2013,,390,May 2014,465,164,4,2,2,Armstrong Creek,1
23 Crystall Place,"525,000",Oct 2020,"420,000",Sep 2017,,,,400,129,3,2,2,Armstrong Creek,1
26 Jacana Way,"596,000",Oct 2020,,,,,,400,,4,2,2,Armstrong Creek,1
14 Cleary Street,"567,000",Oct 2020,,,,,,479,,3,2,2,Armstrong Creek,1
25 Sophie Way,"525,000",Oct 2020,,,,,,353,,4,2,2,Armstrong Creek,1
22 Jindabyne Street,"665,000",Oct 2020,,,,,,506,,4,2,2,Armstrong Creek,1
9 Beard Street,"465,000",Oct 2020,,,,,,276,,,,,Armstrong Creek,1
