Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
5 Werner Avenue,"491,000",Apr 2018,"147,500",Mar 2009,,460,May 2018,481,,4,2,2,Marshall,18
18 Badminton Court,"520,000",Apr 2018,"180,000",Dec 2014,,,,481,,4,2,2,Marshall,18
10 Speranza Court,"442,000",Apr 2018,"365,000",Jul 2012,,400,Feb 2013,350,139,3,2,1,Marshall,18
37 Orpington Crescent,"443,000",Apr 2018,"138,000",Jan 2012,,385,Dec 2016,324,,4,2,2,Marshall,18
4/10 Oriondo Way,"410,000",Mar 2018,"155,000",Apr 2012,,,,336,,3,2,1,Marshall,18
12 Werner Avenue,"487,000",Mar 2018,"140,800",Mar 2009,,,,484,144,4,2,1,Marshall,18
43 Macfarlane Street,"488,500",Mar 2018,"168,000",Apr 2012,,,,470,136,,,,Marshall,18
5 Oriondo Way,"375,000",Mar 2018,,,,,,302,,2,1,1,Marshall,18
6 Oriondo Way,"390,000",Mar 2018,"161,000",Nov 2011,,,,300,102,4,1,1,Marshall,18
26 Tamala Avenue,"455,000",Mar 2018,"241,000",Apr 2005,,,,690,,3,1,2,Marshall,18
8 Adair Court,"457,000",Mar 2018,"137,000",Jan 2010,,420,Mar 2018,361,361,,,,Marshall,18
20 Adair Court,"425,000",Mar 2018,"142,000",Feb 2000,,,,364,121,3,1,1,Marshall,18
5 Leghorn Way,"455,000",Mar 2018,"155,000",Mar 2012,,370,Jul 2014,378,121,4,2,2,Marshall,18
11 Drews Road,"465,000",Feb 2018,"322,000",Apr 2012,,400,Mar 2018,669,,3,2,2,Marshall,18
5 Nikola Court,"455,000",Feb 2018,"142,500",Sep 2009,,360,Jul 2013,454,124,3,2,1,Marshall,18
33 Oriondo Way,"430,000",Dec 2017,"172,000",Feb 2014,,430,Jan 2020,347,,4,2,2,Marshall,18
27 Basford Court,"435,000",Dec 2017,"400,000",Oct 2016,,400,Feb 2018,439,,3,2,2,Marshall,18
8 Speranza Court,"445,000",Nov 2017,"147,000",May 2010,,,,350,,4,2,2,Marshall,18
18 Basford Court,"425,000",Nov 2017,"143,000",Jun 2014,,,,388,,3,2,2,Marshall,18
16 Oriondo Way,"459,000",Oct 2017,"167,000",Jun 2011,,400,Sep 2017,357,151,3,2,2,Marshall,18
44 Macfarlane Street,"375,000",Oct 2017,"155,000",May 2012,,,,503,,2,2,2,Marshall,18
5 Marvins Place,"490,000",Oct 2017,"140,000",Jun 2009,,,,577,,,,,Marshall,18
24 Drews Road,"415,000",Oct 2017,"155,000",Jul 2012,,395,Jun 2019,337,130,3,2,2,Marshall,18
24 Marvins Place,"439,000",Oct 2017,"145,000",Aug 2009,,410,Apr 2015,515,,3,2,2,Marshall,18
3/73-75 Marshalltown Road,"320,000",Sep 2017,"253,000",Aug 2015,,,,164,,,,,Marshall,18
3/73 Marshalltown Road,"320,000",Sep 2017,"253,000",Jul 2015,,,,164,,,,,Marshall,18
10 Werner Avenue,"472,000",Sep 2017,"139,800",Feb 2000,,410,Nov 2017,484,182,4,2,2,Marshall,18
2/9 Krisanway Drive,"325,000",Sep 2017,,,,310,Aug 2016,225,,,,,Marshall,18
2/73 Marshalltown Road,"270,000",Sep 2017,"230,000",Jun 2010,,255,Mar 2013,164,,,,,Marshall,18
2/73-75 Marshalltown Road,"270,000",Sep 2017,"230,000",Feb 2010,,,,164,,,,,Marshall,18
1/68 Marshalltown Road,"300,000",Aug 2017,"87,500",Jun 1996,,,,183,,,,,Marshall,18
17 Barwarre Road,"437,000",Aug 2017,"170,000",Mar 2012,,,,480,170,,,,Marshall,18
10 Nikola Court,"460,000",Jul 2017,"380,000",Jul 2015,,430,May 2013,465,161,4,2,2,Marshall,18
161-167 Reserve Road,"114,972",Jun 2017,,,,350,Nov 2018,"4,047",,3,1,1,Marshall,18
21 Orpington Crescent,"385,000",Jun 2017,"132,500",Feb 2000,,420,Apr 2019,299,117,3,2,2,Marshall,18
13 Werner Avenue,"469,000",Jun 2017,"380,000",Jun 2010,,425,May 2019,481,170,4,2,2,Marshall,18
2 Nikola Court,"407,500",May 2017,"144,900",Sep 2009,,450,Dec 2020,453,127,3,2,2,Marshall,18
33 Marvins Place,"400,000",May 2017,"353,000",Apr 2011,,385,Sep 2015,700,,4,2,2,Marshall,18
19-20 Chambers Court,"391,000",Apr 2017,"286,000",May 2008,,,,583,,,,,Marshall,18
24 Werner Avenue,"434,000",Apr 2017,"139,800",Feb 2000,,395,Apr 2016,484,,3,2,2,Marshall,18
11 Nikola Court,"430,000",Apr 2017,"145,900",Jan 2009,,420,May 2018,465,178,4,2,2,Marshall,18
16 Adair Court,"420,000",Apr 2017,,,,400,Jul 2018,370,,3,2,2,Marshall,18
22 Marvins Place,"375,000",Mar 2017,"145,000",Sep 2009,,,,450,,,,,Marshall,18
12 Reedy Link,"425,000",Mar 2017,"305,801",Mar 2009,,400,Jun 2017,480,,3,2,2,Marshall,18
16 Grove Road,"460,000",Mar 2017,,,,,,708,,3,2,2,Marshall,18
13-15 Marvins Place,"450,000",Mar 2017,"150,000",Jul 2009,,410,Jul 2011,632,,4,2,2,Marshall,18
