Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
Lot 671 Frogmore Way,"298,000",Jan 2021,,,,,,660,,,,,Highton,15
33 Queens Park Road,"657,000",Jan 2021,"425,000",Jan 2010,,430,Nov 2017,333,,3,2,1,Highton,15
2/3 Garvey Court,"515,000",Jan 2021,"280,000",Dec 2009,,,,368,126,,,,Highton,15
Lot 755 Clifford Street,"322,000",Jan 2021,,,,,,666,,,,,Highton,15
9 Barrabool Road,"675,000",Jan 2021,,,,,,750,,,,,Highton,15
Lot 677 Strathlachlan Drive,"320,000",Jan 2021,,,,,,635,,,,,Highton,15
44 North Valley Road,"320,000",Jan 2021,,,,,,267,,,,,Highton,15
5 Northbridge Road,"1,250,000",Jan 2021,"1,090,000",Apr 2015,,,,895,381,5,6,3,Highton,15
22 Marcus Street,"595,000",Jan 2021,"230,000",Jan 2004,,,,627,,4,1,,Highton,15
Lot 668 Frogmore Way,"347,000",Dec 2020,,,,,,684,,,,,Highton,15
17 Pinecrest Drive,"625,000",Dec 2020,"465,000",Oct 2016,,,,668,127,3,2,4,Highton,15
Lot 754 Clifford Street,"478,000",Dec 2020,,,,,,,,,,,Highton,15
Lot 757 Radstock Avenue,"425,000",Dec 2020,,,,,,685,,,,,Highton,15
175 Barrabool Road,"839,000",Dec 2020,"440,000",Jul 2010,,,,914,,4,2,2,Highton,15
Lot 744 Strathlachlan Drive,"286,000",Dec 2020,,,,,,617,,,,,Highton,15
6/54 Barrabool Road,"435,000",Dec 2020,,,,390,Jan 2021,671,,,,,Highton,15
1-2 Vaucluse Rise,"850,000",Dec 2020,"610,000",Sep 2015,,,,659,30,3,2,4,Highton,15
5 Oakhill Avenue,"1,350,000",Dec 2020,"280,000",Dec 2010,,,,963,,5,3,3,Highton,15
Lot 745 Strathlachlan Drive,"289,000",Dec 2020,,,,,,617,,,,,Highton,15
Lot 747 Strathlachlan Drive,"294,000",Dec 2020,,,,,,612,,,,,Highton,15
Lot 746 Strathlachlan Drive,"296,000",Dec 2020,,,,,,623,,,,,Highton,15
Lot 748 Narrawong Avenue,"296,000",Dec 2020,,,,,,479,,,,,Highton,15
9/27-29 Montague Street,"392,500",Dec 2020,"303,000",Oct 2015,,210,Jun 2010,69,,,,,Highton,15
Lot 751 Strathlachlan Drive,"278,000",Dec 2020,,,,,,521,,,,,Highton,15
Lot 753 Clifford Street,"292,000",Dec 2020,,,,,,506,,,,,Highton,15
36 Gwyther Road,"715,000",Dec 2020,,,,,,730,,,,,Highton,15
LOT 732 Dryden Way,"324,000",Dec 2020,,,,,,730,,,,,Highton,15
4/25 Elizabeth Street,"429,000",Dec 2020,"250,000",Mar 2013,,280,Jul 2014,127,76,2,1,1,Highton,15
133 Belle Vue Avenue,"703,000",Dec 2020,,,,,,681,,,,,Highton,15
2/10 Barwon Boulevard,"585,000",Dec 2020,,,,,,200,,,,,Highton,15
19 Lambhill Crescent,"772,000",Dec 2020,,,,,,587,,,,,Highton,15
43 Montpellier Drive,"920,000",Dec 2020,,,,,,743,,,,,Highton,15
35 Cuthbert Avenue,"651,000",Dec 2020,,,,,,589,,3,1,2,Highton,15
81 South Valley Road,"800,000",Dec 2020,"520,000",Sep 2018,,,,622,,3,1,2,Highton,15
6 Oakbank Avenue,"687,500",Dec 2020,"277,000",Oct 2003,,460,May 2019,688,,4,2,2,Highton,15
29 Cuthbert Avenue,"560,000",Dec 2020,"82,500",Aug 1988,,,,589,,3,1,2,Highton,15
86 North Valley Road,"655,000",Dec 2020,"501,000",Mar 2017,,470,Nov 2018,670,106,2,1,1,Highton,15
245 Mt Pleasant Road,"650,000",Dec 2020,"575,000",Dec 2018,,,,479,146,3,2,1,Highton,15
Lot 752 Strathlachlan Drive,"278,000",Dec 2020,,,,,,521,,,,,Highton,15
Lot 749 Woolbrae Place,"366,000",Dec 2020,,,,,,727,,,,,Highton,15
