Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
1/57-59 Wilsons Road,"425,000",Nov 2019,"340,000",Mar 2013,,325,Feb 2014,269,,,,,Newcomb,20
7 Neptune Avenue,"440,000",Nov 2019,,,,,,527,,3,1,4,Newcomb,20
130 Portarlington Road,"340,000",Nov 2019,"75,000",Sep 1995,,,,564,,3,1,1,Newcomb,20
15 Brayshay Road,"472,000",Nov 2019,"320,000",May 2016,,360,Apr 2020,664,120,3,1,1,Newcomb,20
4 Ruth Court,"428,000",Oct 2019,"216,000",Nov 2006,,,,727,110,3,1,3,Newcomb,20
23 Watsons Road,"402,000",Oct 2019,"295,000",Oct 2010,,310,May 2014,652,,3,1,1,Newcomb,20
3 Ivanhoe Court,"455,000",Oct 2019,"102,500",May 2001,,,,711,,3,1,2,Newcomb,20
26 Lancaster Avenue,"500,000",Oct 2019,"79,000",Oct 2000,,480,Dec 2020,780,,3,2,4,Newcomb,20
1/11 Ivanhoe Court,"430,000",Oct 2019,,,,,,400,,3,1,2,Newcomb,20
6 Pluto Court,"382,500",Oct 2019,,,,370,Nov 2019,619,,3,1,1,Newcomb,20
105 Helms Street,"886,000",Sep 2019,,,,,,"2,382",,4,2,7,Newcomb,20
34 Watsons Road,"450,000",Sep 2019,"132,500",Sep 2015,,,,593,,3,1,2,Newcomb,20
57 Boundary Road,"455,000",Sep 2019,"320,000",May 2016,,340,Jun 2017,557,115,3,1,2,Newcomb,20
4/8 Hillford Street,"208,000",Sep 2019,"119,000",2009,,195,Jan 2015,47,,1,1,1,Newcomb,20
2/49 Bellarine Highway,"457,700",Sep 2019,"133,000",Oct 2017,,,,234,,,,,Newcomb,20
9/7 Helms Street,"411,000",Sep 2019,"269,000",Oct 2008,,400,Dec 2019,367,,,,,Newcomb,20
2/44 Bellarine Highway,"288,000",Sep 2019,,,,,,149,,,,,Newcomb,20
29 Ivy Street,"449,000",Sep 2019,"340,000",Nov 2014,,380,Mar 2019,285,,3,2,1,Newcomb,20
55 Watsons Road,"415,000",Sep 2019,,,,,,628,,3,1,2,Newcomb,20
2 Acton Court,"482,000",Sep 2019,"290,000",Oct 2013,,350,Aug 2020,894,,3,1,1,Newcomb,20
97 Boundary Road,"525,000",Aug 2019,"250,000",Oct 2011,,400,Oct 2019,683,197,4,2,3,Newcomb,20
7 Dorward Avenue,"489,000",24 Aug 2019,,,1.0,,,592,,3,1,1,Newcomb,20
46 Hibiscus Crescent,"460,100",Aug 2019,,,,370,Oct 2019,546,,3,1,,Newcomb,20
24 Neptune Avenue,"390,000",Aug 2019,"275,000",Dec 2015,,330,May 2019,536,127,3,1,2,Newcomb,20
63 Wilton Avenue,"430,000",Aug 2019,,,,,,658,,4,2,2,Newcomb,20
12 Wirth Court,"422,000",Aug 2019,"345,000",Jan 2016,,350,Feb 2016,573,122,3,1,1,Newcomb,20
1/6 Tilly Court,"305,000",Aug 2019,"270,000",Aug 2017,,300,Nov 2019,169,,,,,Newcomb,20
5 Dorward Avenue,"455,000",Aug 2019,,,,360,Sep 2019,593,,3,1,3,Newcomb,20
4/14-16 Lindsay Street,"215,000",Jul 2019,"210,000",Jul 2018,,210,Feb 2019,64,,,,,Newcomb,20
132B Wilsons Road,"357,500",Jul 2019,,,,,,384,,,,,Newcomb,20
14 Boronia Street,"386,000",Jul 2019,,,,,,583,,,,,Newcomb,20
60 Helms Street,"465,000",Jul 2019,"324,000",Dec 2010,,325,Nov 2014,822,,3,1,1,Newcomb,20
29B Poplar Street,"425,000",Jul 2019,"305,000",Apr 2012,,330,Dec 2013,306,130,,,,Newcomb,20
7 Myrtle Avenue,"491,500",Jul 2019,"159,500",Feb 2000,,360,Sep 2019,673,,3,2,2,Newcomb,20
14 Drysdale Avenue,"477,000",Jul 2019,"345,000",Feb 2008,,325,Jul 2016,665,112,3,1,2,Newcomb,20
30 Wilton Avenue,"600,000",Jun 2019,"225,000",May 2004,,,,655,134,4,2,2,Newcomb,20
26 Watsons Road,"412,000",Jun 2019,,,,,,591,,3,1,1,Newcomb,20
50 Neptune Avenue,"475,000",Jun 2019,,,,450,Jul 2019,657,,4,1,4,Newcomb,20
111 Boundary Road,"370,000",Jun 2019,"259,900",Feb 2010,,240,Jan 2010,314,85,2,2,1,Newcomb,20
13 Johnston Avenue,"425,700",Jun 2019,"285,000",Mar 2014,,,,341,,2,2,2,Newcomb,20
65 Neptune Avenue,"390,000",Jun 2019,,,,300,Jan 2015,533,,3,1,2,Newcomb,20
1/8 Poplar Street,"460,000",Jun 2019,"295,500",Jul 2017,,295,Jun 2016,300,120,3,2,2,Newcomb,20
1/41 Miller Street,"380,000",May 2019,,,,300,Oct 2016,296,,3,1,2,Newcomb,20
22 Gibbs Street,"375,000",May 2019,"186,000",Oct 2006,,280,Aug 2014,541,,2,1,3,Newcomb,20
24 Hibiscus Crescent,"350,320",May 2019,"267,000",Mar 2012,,300,Jun 2014,541,104,3,1,1,Newcomb,20
43 Watsons Road,"485,000",May 2019,,,,,,628,,3,1,2,Newcomb,20
27 Veronica Avenue,"405,000",May 2019,"239,000",Nov 2008,,,,535,,3,1,4,Newcomb,20
15 Breadalbane Street,"418,500",May 2019,,,,320,Aug 2019,631,,4,1,1,Newcomb,20
134-136 PORTARLINGTON Road,"650,000",May 2019,"128,000",Feb 1999,,,,"1,447",,4,2,2,Newcomb,20
1/20 Wilsons Road,"357,500",May 2019,,,,390,May 2019,275,,4,1,1,Newcomb,20
1-4/12 Hillford Street,"1,123,500",Apr 2019,,,,,,,,,,,Newcomb,20
11 Charlotte Avenue,"330,000",Apr 2019,"265,000",Mar 2015,,350,Mar 2019,383,,3,1,,Newcomb,20
43 Anthony Street,"429,000",Apr 2019,"194,000",Aug 2003,,,,833,,3,1,1,Newcomb,20
57 Watsons Road,"318,000",Apr 2019,,,,,,630,,,,,Newcomb,20
48 Charles Street,"430,000",Apr 2019,,,,,,587,,3,1,2,Newcomb,20
61 Neptune Avenue,"388,500",Apr 2019,"251,000",Dec 2013,,285,Dec 2013,535,,3,1,1,Newcomb,20
5/29-31 Boundary Road,"334,000",Apr 2019,"235,000",Mar 2013,,,,89,,,,,Newcomb,20
9 Myrtle Avenue,"445,000",Apr 2019,"210,100",Jun 2003,,330,May 2019,673,,3,1,4,Newcomb,20
10 Dorward Avenue,"400,000",Apr 2019,,,,330,May 2019,588,,3,1,1,Newcomb,20
5/29 Boundary Road,"334,000",Apr 2019,"235,000",Mar 2013,,320,May 2019,89,,,,,Newcomb,20
6/51-53 Helms Street,"350,000",Mar 2019,"245,000",Oct 2012,,260,May 2012,243,,,,,Newcomb,20
2 Lancaster Avenue,"350,000",Mar 2019,"325,000",Nov 2014,1.0,230,Apr 2016,120,118,3,1,1,Newcomb,20
28 Glover Street,"500,000",Mar 2019,,,,,,724,,3,1,5,Newcomb,20
1 Myrtle Avenue,"462,000",Mar 2019,"139,000",Sep 2002,,,,544,,4,2,5,Newcomb,20
118 Portarlington Road,"380,000",Mar 2019,"242,000",May 2014,,,,535,,3,1,,Newcomb,20
16 Neptune Avenue,"385,000",Mar 2019,"290,000",Apr 2017,,350,Jan 2021,539,,3,1,,Newcomb,20
12A Brayshay Road,"416,000",Mar 2019,"337,000",Oct 2016,,380,Apr 2019,359,,,,,Newcomb,20
2/3 Saltpan Place,"357,000",Feb 2019,"195,000",Jan 2005,,,,178,,,,,Newcomb,20
12 Portarlington Road,"570,000",Feb 2019,"240,000",Sep 2009,,380,Mar 2016,776,,3,2,1,Newcomb,20
28 Neptune Avenue,"460,000",25 Feb 2019,"163,000",Dec 2005,1.0,375,Sep 2019,535,,4,2,2,Newcomb,20
14 Carinya Avenue,"366,000",Feb 2019,"81,000",Feb 2000,,,,621,,3,1,1,Newcomb,20
4/53 Anthony Street,"405,000",Feb 2019,"80,000",Jun 2005,,365,Nov 2018,355,,,,,Newcomb,20
12 Cecil Court,"480,000",09 Feb 2019,,,1.0,370,Mar 2019,"1,176",,3,1,4,Newcomb,20
7 Brayshay Road,"475,000",Feb 2019,"310,000",Nov 2014,,,,664,128,3,1,2,Newcomb,20
17 Dorward Avenue,"400,000",Feb 2019,,,,,,588,,3,1,1,Newcomb,20
16 Bayfield Court,"527,000",Feb 2019,"89,000",Jul 2003,,,,807,260,3,2,1,Newcomb,20
13 Mercury Crescent,"386,000",Jan 2019,"265,000",Oct 2013,,300,May 2013,537,104,3,1,2,Newcomb,20
9 Bayfield Court,"550,000",Jan 2019,"385,000",May 2007,,,,848,,4,2,3,Newcomb,20
48 Anthony Street,"591,000",Jan 2019,"369,000",May 2016,,,,777,,4,2,1,Newcomb,20
52 Anthony Street,"400,000",Jan 2019,"199,000",Feb 2000,,200,Aug 2004,771,141,3,1,3,Newcomb,20
3 Pluto Court,"370,000",Jan 2019,,,,,,558,,2,1,1,Newcomb,20
8 Helms Street,"425,000",Jan 2019,"120,000",Apr 2002,,,,625,,4,1,2,Newcomb,20
64 Wilton Avenue,"324,000",Dec 2018,,,,,,654,,,,,Newcomb,20
2 Cecil Court,"460,000",Dec 2018,"232,000",Dec 2005,,,,666,176,4,1,2,Newcomb,20
1/23 Glover Street,"431,000",Dec 2018,,,,,,343,,,,,Newcomb,20
2/11 Gibbs Street,"400,000",Dec 2018,"290,000",Sep 2013,,290,Oct 2012,255,96,,,,Newcomb,20
1/25 Boundary Road,"280,000",19 Dec 2018,"189,000",Jul 2009,1.0,,,108,85,,,,Newcomb,20
2 Bain Court,"450,000",Dec 2018,"82,000",Jul 1989,,350,Jan 2019,739,,3,1,1,Newcomb,20
10 Dorcas Street,"347,500",Dec 2018,"195,000",Dec 2014,,340,Jan 2019,129,,,,,Newcomb,20
26 Glover Street,"500,000",01 Dec 2018,"305,000",May 2010,1.0,340,Dec 2017,725,,3,1,3,Newcomb,20
2/8-10 Breadalbane Street,"410,000",Nov 2018,"271,000",Feb 2009,,310,Apr 2018,323,,,,,Newcomb,20
1 Sally Court,"390,000",Nov 2018,"83,500",Sep 2000,,,Move In,535,,3,1,2,Newcomb,20
13 Poplar Street,"521,000",24 Nov 2018,,,1.0,340,Jan 2019,692,,3,1,4,Newcomb,20
13a Hinchcliff Crescent,"470,000",Nov 2018,,,,,,363,,,,,Newcomb,20
37 Wilton Avenue,"381,500",Nov 2018,"223,000",Nov 2007,,280,Nov 2016,356,,3,1,2,Newcomb,20
48 Wilsons Road,"405,000",Nov 2018,,,,,,672,,3,1,4,Newcomb,20
48 Willsons Road,"405,000",Nov 2018,,,,,,,,,,,Newcomb,20
9 Ivy Street,"546,000",Nov 2018,"276,000",Jun 2012,,380,Feb 2019,639,115,3,1,4,Newcomb,20
3 Ferry Grove,"502,500",Nov 2018,,,,375,Oct 2019,703,,3,1,4,Newcomb,20
7/29-31 Boundary Road,"335,000",Nov 2018,"188,000",Oct 2012,,175,Sep 2011,91,,,,,Newcomb,20
2 Murray Street,"410,000",Nov 2018,"320,000",Jan 2017,,,,365,,2,1,1,Newcomb,20
