Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
7 Freesia Court,"395,000",Dec 2018,"300,000",Oct 2015,,380,Jul 2019,715,,3,2,1,Whittington,31
3 Monash Court,"440,000",Dec 2018,"334,000",May 2012,,395,Jul 2015,734,,4,2,2,Whittington,31
2/66 Regent Street,"310,000",Nov 2018,"205,000",Nov 2007,,,,361,,,,,Whittington,31
5 Thompson Street,"450,000",Nov 2018,"205,500",Sep 2008,,220,Apr 2008,685,158,4,1,1,Whittington,31
33 Hickey Street,"385,000",Nov 2018,,,,,,685,,3,1,5,Whittington,31
9 Melva Crescent,"390,000",Nov 2018,"250,000",Nov 2013,,300,Dec 2018,739,101,3,1,1,Whittington,31
12-14 Stefania Mews,"465,500",Nov 2018,"320,000",Jun 2015,,350,Aug 2015,591,,4,2,1,Whittington,31
4 Alouette Court,"350,000",Nov 2018,"231,000",Nov 2013,,285,Dec 2016,724,,3,1,1,Whittington,31
217 Boundary Road,"421,000",Oct 2018,,,,,,984,,2,2,2,Whittington,31
31 Melva Crescent,"450,000",Sep 2018,"287,000",Dec 2013,,,,726,,3,1,4,Whittington,31
2/112 Coppards Road,"324,000",Sep 2018,"219,000",Nov 2012,,260,Dec 2013,215,72,,,,Whittington,31
1/14 Oxford Street,"337,000",Sep 2018,"255,000",Feb 2017,,,,132,,,,,Whittington,31
113 Solar Drive,"355,000",Sep 2018,"235,000",Mar 2015,,280,Sep 2018,637,121,3,1,3,Whittington,31
1 & 2/36 Hickey Street,"305,000",Aug 2018,,,,,,,,2,1,1,Whittington,31
55 Regent Street,"439,000",Aug 2018,"327,000",Jun 2017,,380,Dec 2018,842,,3,1,1,Whittington,31
5 Bettsons Court,"420,000",Aug 2018,"261,000",Sep 2011,1.0,310,Jul 2015,660,,3,2,2,Whittington,31
33 Melva Crescent,"385,000",Aug 2018,"175,000",Nov 2005,,360,Sep 2018,688,,3,1,2,Whittington,31
1/21 Freesia Court,"345,000",Aug 2018,"92,500",Aug 1994,,330,Jun 2019,374,,,,,Whittington,31
36 Oxford Street,"446,000",04 Aug 2018,,,1.0,360,Aug 2018,650,,3,2,2,Whittington,31
15/5 OXFORD Street,"321,000",Jul 2018,,,,,,"9,343",,,,,Whittington,31
37 Regent Street,"455,000",28 Jul 2018,"92,500",Dec 2000,1.0,,,549,,3,1,2,Whittington,31
15 Lino Court,"525,000",Jul 2018,,,,,,703,,3,2,2,Whittington,31
10 Gemini Court,"401,250",Jul 2018,"321,500",May 2017,,340,Nov 2019,630,,4,1,1,Whittington,31
39 Melva Crescent,"420,000",21 Jul 2018,,,1.0,320,Sep 2018,684,,3,2,2,Whittington,31
