Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/03/2019,21.4,39.3,0,,,ENE,31,18:58:00,25.9,55,,NNE,11,1019.4,37.6,17,,ENE,17,1017.5
2/03/2019,21.6,38.1,0,,,ENE,30,15:03:00,26.6,40,,NE,13,1018.7,37,20,,ENE,15,1015.8
3/03/2019,20.6,37.8,0,,,SSW,43,19:39:00,26.6,43,,NE,7,1017,36,18,,NNW,15,1014.7
4/03/2019,14.6,24.7,0,,,SSE,30,17:01:00,19,76,,SE,6,1020.1,23.7,54,,SSE,15,1017.4
5/03/2019,15.4,25.2,0,,,S,37,22:47:00,17.6,92,,WSW,6,1013.6,23.3,59,,SSE,20,1008.9
6/03/2019,12,18.8,1,,,W,54,09:44:00,13,80,,WNW,22,1013.7,16,49,,SSW,19,1017.5
7/03/2019,8.3,21.9,0.4,,,NE,24,12:37:00,12.1,61,,WNW,9,1024.9,20.2,34,,NNE,11,1020.9
8/03/2019,11.5,25.3,0,,,S,31,14:23:00,15.8,44,,,Calm,1017.7,23.6,33,,SE,15,1016.3
9/03/2019,12.8,24.1,0,,,S,35,16:00:00,18.3,76,,,Calm,1018.7,22.4,52,,S,20,1017.6
10/03/2019,12.7,24.2,0,,,SW,57,13:42:00,15.1,98,,NW,4,1011.9,18.7,66,,WSW,28,1011
11/03/2019,15,23,0.2,,,WSW,44,16:27:00,16.8,95,,WNW,4,1011.2,20.4,64,,WSW,20,1009.7
12/03/2019,14.3,20.9,0.4,,,SSW,54,17:12:00,15.1,92,,W,20,1009.4,19.5,33,,WSW,26,1013
13/03/2019,7.7,19.6,0,,,SSE,31,13:44:00,11.9,73,,W,7,1019.2,17.9,46,,SSE,11,1018.6
14/03/2019,6.9,21.7,0,,,S,31,17:59:00,12.9,79,,WSW,4,1017.5,20.6,46,,SSE,11,1016
15/03/2019,9.9,22.4,0,,,SSE,35,15:54:00,14.9,75,,NW,4,1020,21.4,50,,SSE,19,1019.8
16/03/2019,11.9,25.6,0,,,S,26,16:31:00,16.7,93,,SSE,6,1021,25.2,43,,S,15,1019
17/03/2019,15.1,24.8,0,,,S,35,15:20:00,19,93,,SE,6,1019.4,23.6,62,,S,20,1016.9
18/03/2019,14,24.9,0,,,SE,44,16:56:00,19.3,92,,SE,13,1018.8,24,66,,SSE,19,1016.5
19/03/2019,16.9,21.5,0,,,S,35,15:36:00,19.3,94,,SE,11,1016.9,21,92,,S,24,1016
20/03/2019,17.6,22.3,0,,,S,26,18:33:00,19.5,99,,SSE,7,1015.8,21.8,92,,SSE,13,1015.3
21/03/2019,18.8,23.1,0.2,,,S,24,15:19:00,19.4,96,,SE,7,1016.7,22.7,89,,S,15,1015.8
22/03/2019,18.3,27.7,0,,,S,28,16:14:00,19.7,93,,SSW,4,1015.3,27.1,56,,NE,6,1012.5
23/03/2019,18.3,33.9,0.4,,,SSW,50,15:00:00,21.9,73,,NE,19,1007.9,31,37,,NNW,11,1003.7
24/03/2019,16.1,31.4,0.8,,,NW,63,22:43:00,18.8,86,,,Calm,1010.8,29.4,34,,N,11,1003
25/03/2019,13.4,18.2,0,,,W,81,12:21:00,14.4,50,,WNW,33,1004,16.1,45,,W,26,1008.5
26/03/2019,10.9,21.6,0.6,,,WSW,44,10:43:00,12.9,68,,WNW,22,1017.4,20.7,36,,WSW,17,1019.8
27/03/2019,7.9,22.3,0,,,SSE,30,16:04:00,12.3,77,,,Calm,1024.5,20.7,41,,N,11,1021.3
28/03/2019,8.6,29.8,0,,,NNW,43,13:54:00,15.1,68,,N,2,1017.7,28.4,25,,NNW,15,1012.4
29/03/2019,11.6,29,0,,,NNW,70,14:12:00,21.2,34,,NNE,15,1005.1,28.1,22,,NNW,39,998.8
30/03/2019,8.3,16.8,0,,,SW,52,14:30:00,9.1,92,,W,20,1010.3,16.2,45,,SW,20,1009.9
31/03/2019,8.9,19,4.6,,,W,39,10:23:00,13.3,94,,WNW,15,1014.8,16.3,93,,SSW,20,1017.4
1/04/2019,12.2,17.2,0.4,,,SSE,22,16:33:00,13.4,72,,,Calm,1025.7,16.6,56,,SSE,13,1025.3
2/04/2019,5.5,26,0,,,NE,22,15:20:00,9.4,96,,,Calm,1026.2,25.3,31,,N,7,1021.7
3/04/2019,9.3,22.9,0,,,SSW,31,14:51:00,17,56,,WSW,4,1024.3,19.6,77,,SSW,13,1026.5
4/04/2019,10.1,22.1,0,,,SSE,22,12:40:00,14.4,85,,ESE,4,1030.9,20.5,57,,SSE,11,1027.9
5/04/2019,12.4,30.3,0,,,N,50,21:24:00,18.3,82,,NE,15,1023.8,29,33,,NNE,20,1016.6
6/04/2019,14.4,19.9,0,,,W,41,11:26:00,16.3,84,,W,13,1019.2,18.2,62,,S,13,1019.3
7/04/2019,7.4,26.4,0,,,NNW,43,14:03:00,14.6,73,,WNW,11,1017.6,25.8,29,,NNW,17,1011.1
8/04/2019,13.4,22.1,0,,,NW,54,17:08:00,15.9,86,,NNW,9,1013.6,21.2,41,,WNW,20,1009.7
9/04/2019,9,16.2,1,,,WSW,41,10:49:00,12.4,69,,W,17,1018,15.2,64,,SSW,15,1020.2
10/04/2019,8.7,16.4,1.6,,,S,26,15:09:00,12.3,80,,WNW,7,1027.4,15.5,59,,S,13,1026.8
11/04/2019,10.7,16.4,0,,,S,20,14:31:00,13.4,80,,NE,4,1028.1,15.9,59,,SSE,13,1026
12/04/2019,4.6,24.5,0,,,S,26,17:27:00,13.1,95,,N,6,1024.5,23.8,29,,NNE,2,1020.3
13/04/2019,9.6,21.8,0,,,S,24,15:52:00,15.3,77,,NW,6,1025.3,19.8,58,,SSE,13,1024
14/04/2019,11.5,22.6,0,,,SSE,26,09:14:00,17.9,77,,SSE,15,1025.4,21.2,58,,SSE,13,1021.3
15/04/2019,12.3,26.7,0,,,ENE,19,11:48:00,16.4,92,,NNE,6,1021.6,26.3,37,,ENE,13,1017.6
16/04/2019,16.3,33.3,0,,,NNW,30,14:33:00,22.5,50,,NE,15,1020.3,32.1,16,,N,11,1016.7
17/04/2019,20.8,32.1,0,,,W,48,22:00:00,22,51,,NE,17,1017.4,29.9,25,,NNW,13,1015.1
18/04/2019,10,18.6,0,,,W,31,00:02:00,14.2,62,,NW,7,1027.6,16.5,49,,SSE,19,1027.3
19/04/2019,7.4,20.1,0,,,SSE,24,15:05:00,15.9,68,,ESE,11,1027.9,19.4,55,,SSE,15,1024.4
20/04/2019,7,28.1,0,,,ENE,17,09:06:00,15.7,84,,NE,9,1023.6,26.8,32,,NE,7,1019.3
21/04/2019,13.8,26.9,0,,,S,35,17:41:00,21.8,52,,NNE,15,1016.7,25.5,36,,SW,9,1016.2
22/04/2019,13.1,18.9,0,,,ESE,26,13:52:00,14.9,64,,SW,11,1025.8,17.4,51,,SSE,11,1025.9
23/04/2019,9.4,18.7,0,,,S,24,13:44:00,14,83,,SW,4,1028.7,16.9,68,,SSE,17,1027
24/04/2019,13,23.2,0,,,S,43,14:24:00,15,92,,N,7,1024.8,17.8,72,,S,20,1022.1
25/04/2019,8.8,20.6,0,,,NW,43,14:52:00,13.6,92,,NW,11,1021.8,19.8,43,,WNW,24,1017.5
26/04/2019,11.6,15.5,0.8,,,WSW,59,12:30:00,12.7,64,,W,20,1017,14.4,48,,WSW,33,1018.7
27/04/2019,7.5,15.6,0.2,,,W,46,15:21:00,10.5,77,,WNW,15,1026.4,14.9,60,,WNW,22,1024.4
28/04/2019,10.6,17.6,0,,,W,44,01:39:00,13.6,93,,W,17,1024.7,16.8,55,,WSW,20,1025
29/04/2019,8.9,18.6,0,,,NW,19,09:35:00,13.1,94,,WNW,7,1026.7,17.5,50,,WNW,7,1022.1
30/04/2019,3.5,23.6,0,,,NNE,31,16:19:00,12.2,86,,NE,11,1016.8,22.9,31,,NNE,13,1011.1
1/05/2019,12.2,24.2,0,,,N,43,13:48:00,17.7,70,,NNE,17,1011.6,22.8,47,,N,20,1011.5
2/05/2019,14.7,21.8,22,,,NNW,50,02:02:00,15.4,95,,NE,11,1017.7,21.3,50,,NNE,19,1014.1
