,address,sold,last sold,rent,house_info,land_size
58,16 Chambers Court,"Sold $485,000 in Sep 2018","Last Sold $288,900 in Jul 2007",Rent $400pw in Nov 2016,House: 4  2  2 ,Land size: 494 sqm | Building size: 143 sqm
59,30 MacFarlane Street,"Sold $510,000 in Sep 2018", ,Rent $430pw in Sep 2019,House: 3  2  2 ,Land size: 400 sqm
60,36 Grove Road,"Sold $550,000 in Aug 2018","Last Sold $176,000 in Mar 2013", , ,Land size: 420 sqm | Building size: 179 sqm
61,25 Werner Street,"Sold $505,000 in Jul 2018", , , , 
62,25 Werner Avenue,"Sold $505,000 in Jul 2018","Last Sold $387,500 in Aug 2012", ,House: 3  2  2 ,Land size: 481 sqm
63,9 Oriondo Way,"Sold $500,000 in Jun 2018","Last Sold $167,000 in Jun 2011", ,House: 4  2  2 ,Land size: 359 sqm
64,8 Krisanway Drive,"Sold $611,000 in Jun 2018","Last Sold $411,000 in Dec 2010", ,House: 4  2  4 ,Land size: 580 sqm | Building size: 204 sqm
65,25 Marvins Place,"Sold $580,000 in Jun 2018","Last Sold $155,000 in Jul 2009",Rent $410pw in Dec 2014,House: 3  2  2 ,Land size: 744 sqm
66,9 Adair Court,"Sold $431,500 in Jun 2018", , ,House: 3  1  1 ,Land size: 350 sqm
67,7/66 Station Road,"Sold $360,000 in Jun 2018","Last Sold $85,000 in Feb 2000",Rent $320pw in Nov 2017, ,Land size: 238 sqm
68,6 Orpington Crescent,"Sold $462,500 in May 2018","Last Sold $395,000 in Nov 2016",Rent $400pw in Aug 2020,House: 3  2  2 ,Land size: 300 sqm
69,8 Orpington Crescent,"Sold $462,500 in May 2018","Last Sold $130,000 in Jun 2012",Rent $385pw in Jan 2016,House: 3  2  1 ,Land size: 300 sqm | Building size: 124 sqm
70,19 Badminton Court,"Sold $470,000 in May 2018","Last Sold $440,000 in Feb 2017",Rent $410pw in May 2018,House: 4  2  2 ,Land size: 347 sqm
71,34 Macfarlane Street,"Sold $475,000 in May 2018","Last Sold $154,500 in Oct 2010",Rent $390pw in Mar 2014,House: 3  2  1 ,Land size: 363 sqm | Building size: 145 sqm
72,29 Basford Court,"Sold $500,000 in May 2018","Last Sold $429,000 in Mar 2016", ,House: 4  2  2 ,Land size: 562 sqm
73,10 Drews Road,"Sold $460,000 in May 2018","Last Sold $375,000 in Sep 2015", ,House: 3  1  2 ,Land size: 704 sqm
74,18 Badminton Court,"Sold $520,000 in Apr 2018","Last Sold $180,000 in Dec 2014", ,House: 4  2  2 ,Land size: 481 sqm
75,10 Speranza Court,"Sold $442,000 in Apr 2018","Last Sold $365,000 in Jul 2012",Rent $400pw in Feb 2013,House: 3  2  1 ,Land size: 350 sqm | Building size: 139 sqm
76,37 Orpington Crescent,"Sold $443,000 in Apr 2018","Last Sold $138,000 in Jan 2012",Rent $385pw in Dec 2016,House: 4  2  2 ,Land size: 324 sqm
77,4/10 Oriondo Way,"Sold $410,000 in Mar 2018","Last Sold $155,000 in Apr 2012", ,House: 3  2  1 ,Land size: 336 sqm
78,12 Werner Avenue,"Sold $487,000 in Mar 2018","Last Sold $140,800 in Mar 2009", ,House: 4  2  1 ,Land size: 484 sqm | Building size: 144 sqm
79,43 Macfarlane Street,"Sold $488,500 in Mar 2018","Last Sold $168,000 in Apr 2012", , ,Land size: 470 sqm | Building size: 136 sqm
80,5 Oriondo Way,"Sold $375,000 in Mar 2018", , ,House: 2  1  1 ,Land size: 302 sqm
81,6 Oriondo Way,"Sold $390,000 in Mar 2018","Last Sold $161,000 in Nov 2011", ,House: 4  1  1 ,Land size: 300 sqm | Building size: 102 sqm
82,8 Adair Court,"Sold $457,000 in Mar 2018","Last Sold $137,000 in Jan 2010",Rent $420pw in Mar 2018, ,Land size: 361 sqm | Building size: 361 sqm
83,20 Adair Court,"Sold $425,000 in Mar 2018","Last Sold $142,000 in Feb 2000", ,House: 3  1  1 ,Land size: 364 sqm | Building size: 121 sqm
84,5 Leghorn Way,"Sold $455,000 in Mar 2018","Last Sold $155,000 in Mar 2012",Rent $370pw in Jul 2014,House: 4  2  2 ,Land size: 378 sqm | Building size: 121 sqm
85,11 Drews Road,"Sold $465,000 in Feb 2018","Last Sold $322,000 in Apr 2012",Rent $400pw in Mar 2018,House: 3  2  2 ,Land size: 669 sqm
86,5 Nikola Court,"Sold $455,000 in Feb 2018","Last Sold $142,500 in Sep 2009",Rent $360pw in Jul 2013,House: 3  2  1 ,Land size: 454 sqm | Building size: 124 sqm
87,33 Oriondo Way,"Sold $430,000 in Dec 2017","Last Sold $172,000 in Feb 2014",Rent $430pw in Jan 2020,House: 4  2  2 ,Land size: 347 sqm
88,27 Basford Court,"Sold $435,000 in Dec 2017","Last Sold $400,000 in Oct 2016",Rent $400pw in Feb 2018,House: 3  2  2 ,Land size: 439 sqm
89,8 Speranza Court,"Sold $445,000 in Nov 2017","Last Sold $147,000 in May 2010", ,House: 4  2  2 ,Land size: 350 sqm
90,18 Basford Court,"Sold $425,000 in Nov 2017","Last Sold $143,000 in Jun 2014", ,House: 3  2  2 ,Land size: 388 sqm
91,16 Oriondo Way,"Sold $459,000 in Oct 2017","Last Sold $167,000 in Jun 2011",Rent $400pw in Sep 2017,House: 3  2  2 ,Land size: 357 sqm | Building size: 151 sqm
92,44 Macfarlane Street,"Sold $375,000 in Oct 2017","Last Sold $155,000 in May 2012", ,House: 2  2  2 ,Land size: 503 sqm
93,5 Marvins Place,"Sold $490,000 in Oct 2017","Last Sold $140,000 in Jun 2009", , ,Land size: 577 sqm
94,24 Drews Road,"Sold $415,000 in Oct 2017","Last Sold $155,000 in Jul 2012",Rent $395pw in Jun 2019,House: 3  2  2 ,Land size: 337 sqm | Building size: 130 sqm
