,address,sold,last sold,rent,house_info,land_size
200,33 Sea Breeze Parade,"Sold $220,000 in May 2006", ,Rent $190pw in Aug 2008,House: 3  1  1 ,"Land size: 1,011 sqm"
201,89 St Georges Road,"Sold $113,081 in May 2006", , , ,"Land size: 3,055 sqm"
202,3 Seaforth Street,"Sold $257,500 in Apr 2006","Last Sold $179,500 in Sep 2002", ,House: 6 ,"Land size: 1,045 sqm | Building size: 685 sqm"
203,16 Beatty Street,"Sold $171,500 in Jan 2006", , , ,Land size: 645 sqm
204,15 Seabeach Parade,"Sold $230,000 in Nov 2005","Last Sold $125,000 in Oct 2003", ,House: 3  2  2 ,Land size: 697 sqm | Building size: 104 sqm
205,19 Foch Street,"Sold $156,500 in Sep 2005","Last Sold $75,000 in Aug 1998", , ,Land size: 650 sqm
206,9 Seabeach Parade,"Sold $255,000 in Jun 2005","Last Sold $111,000 in May 2000", ,House: 4  1  2 ,Land size: 698 sqm
207,26 Walchs Road,"Sold $50,000 in Jun 2005", , ,House: 4  3  3 ,Land size: 652 sqm
208,11 Seabeach Parade,"Sold $201,000 in Apr 2005", ,Rent $230pw in Mar 2014,House: 2  1  1 ,Land size: 696 sqm
209,20 Coonil Crescent,"Sold $140,000 in Mar 2005","Last Sold $85,000 in Jun 2000", , ,Land size: 647 sqm | Building size: 234 sqm
210,14 Foch Street,"Sold $160,000 in Jan 2005", , , ,Land size: 651 sqm | Building size: 800 sqm
211,1 Foch Street,"Sold $250,000 in Dec 2004","Last Sold $235,000 in Mar 1992", , ,"Land size: 2,609 sqm"
212,2-4 COONIL Crescent,"Sold $69,500 in Nov 2004","Last Sold $55,000 in Dec 1994", ,House: 3  1  4 ,"Land size: 1,259 sqm"
213,3 Coonil Crescent,"Sold $74,775 in Nov 2004", , , ,Land size: 973 sqm
214,34 Seaside Parade,"Sold $225,000 in Nov 2004", , , ,Land size: 683 sqm
215,1 Coonil Crescent,"Sold $74,775 in Nov 2004", , , ,"Land size: 2,496 sqm"
216,39 Seaside Parade,"Sold $220,000 in Jun 2004", , , ,Land size: 626 sqm | Building size: 625 sqm
217,2C Seabright Street,"Sold $245,000 in May 2004", , , ,Land size: 698 sqm | Building size: 566 sqm
218,22 Pine Avenue,"Sold $280,000 in Mar 2004","Last Sold $185,000 in Jul 2002", ,House: 3  1  1 ,"Land size: 1,020 sqm"
219,16 Seabeach Parade,"Sold $285,000 in Mar 2004","Last Sold $70,000 in Apr 1996", , ,Land size: 858 sqm
220,20 Seaforth Street,"Sold $192,500 in Nov 2003","Last Sold $175,000 in Jul 2002", ,House: 4  2  1 ,Land size: 695 sqm
221,2/15 Phosphate Road,"Sold $350,000 in Nov 2003", ,Rent $200pw in Aug 2019, ,"Land size: 1,346 sqm"
222,1/Phosphate Road,"Sold $350,000 in Nov 2003", , , , 
223,51 The Esplanade,"Sold $472,500 in Oct 2003", , ,House: 3  3  2 ,Land size: 260 sqm
224,16 Seaside Parade,"Sold $125,000 in Oct 2003","Last Sold $67,000 in Mar 1989", ,House: 3  2  1 ,Land size: 687 sqm
225,25 Myrtle Grove,"Sold $120,000 in Oct 2003", , ,House: 2  ,Land size: 717 sqm
226,27 Myrtle Grove,"Sold $231,000 in Oct 2003", , ,House: 2  1  ,Land size: 717 sqm
227,77 Station Street,"Sold $200,000 in May 2003", , ,House: 3  1  2 ,"Land size: 1,236 sqm"
228,29 Seabeach Parade,"Sold $154,000 in Mar 2003", ,Rent $200pw in Jun 2005,House: 4  1  1 ,Land size: 690 sqm
229,5-7 SEAFORTH Street,"Sold $192,500 in Jan 2003","Last Sold $118,000 in Sep 1997", , ,"Land size: 1,041 sqm"
230,6 Seaside Parade,"Sold $125,000 in Jan 2003", , , ,Land size: 682 sqm
231,2/32 Myrtle Grove,"Sold $167,000 in Aug 2002", ,Rent $170pw in Dec 2004,Townhouse: 2  1  1 ,Land size: 213 sqm
232,101/4 Foch Street,"Sold $120,000 in Jul 2002", , , ,"Land size: 1,944 sqm"
233,8 Foch Street,"Sold $120,000 in Jul 2002", , ,House: 5  3  3 ,"Land size: 1,945 sqm"
234,14 Myrtle Grove,"Sold $152,000 in May 2002", , ,House: 3  1  4 ,Land size: 761 sqm
235,15 The Esplanade,"Sold $120,000 in May 2002", , , ,Land size: 834 sqm | Building size: 85 sqm
236,37 Walchs Road,"Sold $1,315,000 in May 2002", , ,House: ,"Land size: 59,160 sqm"
237,23 Madden Avenue,"Sold $55,000 in Apr 2002", , ,House: ,Land size: 651 sqm
238,2B Seabright Street,"Sold $206,800 in Mar 2002", , , ,Land size: 698 sqm
239,3 Seabeach Parade,"Sold $162,000 in Mar 2002","Last Sold $65,000 in Jun 1990", ,House: 2  1  1 ,Land size: 692 sqm
240,13 The Esplanade,"Sold $145,000 in Mar 2002", , , ,Land size: 721 sqm
241,3/19 Pine Avenue,"Sold $125,000 in Jan 2002","Last Sold $76,500 in May 1993", , ,"Land size: 20,000 sqm"
242,17 Seabeach Parade,"Sold $162,500 in Nov 2001","Last Sold $120,000 in Feb 2000", ,House: 4  1  1 ,Land size: 697 sqm
243,3 Pine Avenue,"Sold $152,000 in Aug 2001","Last Sold $63,500 in Oct 1987", ,House: 3  1  2 ,Land size: 769 sqm
244,11 Phosphate Road,"Sold $175,000 in Aug 2001","Last Sold $61,500 in Feb 1995", ,House: 3  1  1 ,Land size: 744 sqm
245,72 Seabeach Parade,"Sold $57,000 in Jul 2001", , , ,Land size: 728 sqm
246,2 Greta Street,"Sold $57,000 in Jul 2001", , ,House: 5  3  3 ,Land size: 784 sqm
247,29 Seabright Street,"Sold $130,000 in Jun 2001", , , ,Land size: 703 sqm
248,34 Myrtle Grove,"Sold $155,000 in Apr 2001","Last Sold $60,500 in Apr 1991", ,House: 3  3  3 ,"Land size: 1,010 sqm"
249,29 Myrtle Grove,"Sold $67,000 in Apr 2001", , ,House: 3  2  2 ,Land size: 694 sqm
250,13 Myrtle Grove,"Sold $146,000 in Apr 2001", ,Rent $250pw in Feb 2016,House: 2  1  1 ,Land size: 716 sqm
251,15 Foch Street,"Sold $73,000 in Dec 2000", , ,House: 4  2  2 ,Land size: 644 sqm | Building size: 352 sqm
252,81 Seabeach Parade,"Sold $1,000,000 in Aug 2000", , , , 
253,12 Seaforth Street,"Sold $53,000 in Jul 2000", , ,House: 3  2  2 ,Land size: 692 sqm
254,37 The Esplanade,"Sold $304,000 in May 2000","Last Sold $112,500 in Mar 1995", ,House: 3  ,Land size: 979 sqm
255,1/9 Pine Avenue,"Sold $100,000 in Apr 2000", ,Rent $315pw in Jul 2019, ,Land size: 224 sqm
256,9 Pine Avenue,"Sold $100,000 in Apr 2000", , ,House: 3  ,Land size: 224 sqm
257,29 Pine Avenue,"Sold $87,500 in Mar 2000", , ,House: 3  1  2 ,"Land size: 1,009 sqm | Building size: 133 sqm"
258,7 Myrtle Grove,"Sold $99,900 in Feb 2000", ,Rent $280pw in Aug 2017,House: 2  1  1 ,Land size: 360 sqm
259,26 Seaforth Street,"Sold $60,000 in Feb 2000", , ,House: 3  1  1 ,Land size: 694 sqm
260,2/37 Seabeach Parade,"Sold $93,500 in Feb 2000","Last Sold $53,500 in Apr 1998", , ,Land size: 435 sqm
261,19 Phosphate Road,"Sold $240,000 in Feb 2000", , ,House: ,"Land size: 1,051 sqm"
262,13 Pine Avenue,"Sold $241,500 in Feb 2000","Last Sold $77,500 in Sep 1994", ,House: 3  1  4 ,"Land size: 1,014 sqm"
263,1/25 Myrtle Grove,"Sold $250,000 in Feb 2000", , ,Townhouse: 3  2  2 ,Land size: 338 sqm
264,41 Seaside Parade,"Sold $130,000 in Feb 2000", , ,House: 4 ,Land size: 674 sqm
265,61 Seabeach Parade,"Sold $460,000 in Feb 2000", , , ,"Land size: 3,018 sqm | Building size: 776 sqm"
266,12 Seabeach Parade,"Sold $277,000 in Feb 2000", , ,House: 3  1  2 ,Land size: 491 sqm
267,31 The Esplanade,"Sold $1,060,000 in Feb 2000", , ,House: 4  1  1 ,Land size: 554 sqm
268,17 Seaforth Street,"Sold $550,000 in Feb 2000", , , ,"Land size: 2,085 sqm"
269,39 The Esplanade,"Sold $162,000 in Sep 1999","Last Sold $125,000 in Oct 1995", ,House: ,Land size: 965 sqm
270,20 Seabeach Parade,"Sold $75,500 in Sep 1999","Last Sold $70,000 in Apr 1998", ,House: 3  ,Land size: 861 sqm
271,16 Coonil Crescent,"Sold $69,000 in Aug 1999","Last Sold $56,500 in Mar 1988", , ,Land size: 539 sqm | Building size: 230 sqm
272,1D Seaforth Street,"Sold $75,000 in Mar 1999","Last Sold $65,000 in May 1997", , ,Land size: 692 sqm | Building size: 465 sqm
273,19 Phosphate Avenue,"Sold $60,000 in Mar 1999", , ,House: ,"Land size: 1,051 sqm"
274,4/34 Seaforth Street,"Sold $230,000 in Dec 1998", ,Rent $255pw in Aug 2011, ,Land size: 224 sqm
275,29 Larneuk Street,"Sold $196,000 in Oct 1998", , , , 
276,6 Seaforth Street,"Sold $62,500 in Jul 1998", , , ,Land size: 696 sqm
277,10 Beatty Street,"Sold $68,000 in May 1998", , , ,Land size: 656 sqm
278,13 Foch Street,"Sold $70,000 in Apr 1998","Last Sold $62,000 in Dec 1993", ,House: 4  2  3 ,Land size: 657 sqm
279,1/19 Pine Avenue,"Sold $62,550 in Oct 1997","Last Sold $53,000 in Aug 1986", , ,Land size: 110 sqm
280,5 Seaforth Street,"Sold $118,000 in Sep 1997", , , ,"Land size: 1,041 sqm"
281,1/28-30 PINE Avenue,"Sold $558,000 in Mar 1997", , , ,Land size: 803 sqm
282,1/28 Pine Avenue,"Sold $558,000 in Mar 1997", , , ,Land size: 801 sqm
283,10 The Esplanade,"Sold $375,000 in Jan 1997", , , ,"Land size: 69,417 sqm"
284,23 Seaside Parade,"Sold $90,000 in Dec 1996", , , ,"Land size: 1,256 sqm | Building size: 500 sqm"
285,8 Beatty Street,"Sold $68,000 in Sep 1996","Last Sold $67,500 in Nov 1994", , ,Land size: 643 sqm | Building size: 200 sqm
286,15 Phosphate Road,"Sold $85,000 in Jun 1996", ,Rent $285pw in Oct 2015,House: 3  1  1 ,Land size: 300 sqm
287,59 The Esplanade,"Sold $105,000 in Jan 1996", , ,House: 3  1  1 ,"Land size: 1,007 sqm | Building size: 132 sqm"
288,2 Walchs Road,"Sold $165,000 in Jan 1996", , , ,"Land size: 1,589 sqm"
289,13 Seabright Street,"Sold $66,000 in Sep 1995","Last Sold $53,000 in Oct 1993", ,House: ,Land size: 697 sqm
290,11 Seaforth Street,"Sold $60,000 in May 1995", , , ,Land size: 704 sqm
291,2 Coonil Crescent,"Sold $55,000 in Dec 1994", , , ,"Land size: 1,256 sqm"
292,1/15 Phasphate Road,"Sold $75,000 in Sep 1994", , , , 
293,13 Seaforth Street,"Sold $65,000 in Dec 1993", , , ,Land size: 697 sqm | Building size: 300 sqm
294,3 Myrtle Grove,"Sold $66,000 in Sep 1993", , ,House: 3  3  3 ,Land size: 864 sqm
295,14 Seaside Parade,"Sold $87,500 in May 1993", , , ,Land size: 686 sqm | Building size: 536 sqm
296,24-26 Seaside Parade,"Sold $105,000 in Sep 1992", , , ,Land size: 689 sqm
297,24 Seaside Parade,"Sold $105,000 in Sep 1992", , , ,"Land size: 1,378 sqm"
298,32 Seaside Parade,"Sold $95,000 in Jun 1992", , ,House: 5  ,Land size: 698 sqm
299,27 Seabeach Parade,"Sold $79,000 in Jun 1992","Last Sold $71,000 in Nov 1988", ,House: 3  ,Land size: 701 sqm
