,address,sold,last sold,rent,house_info,land_size
76,204/8-10 McLarty Place,"Sold $460,000 in May 2019","Last Sold $450,000 in Jul 2015",Rent $470pw in Jun 2019, ,Land size: 566 sqm
77,4/4 Mercer Street,"Sold $636,000 in 04 May 2019(Auction)","Last Sold $450,000 in Jul 2010",Rent $450pw in Sep 2019,Townhouse: 3  2  2 ,Land size: 723 sqm | Building size: 124 sqm
78,12B Western Beach Road,"Sold $2,380,000 in 13 Apr 2019(Auction)","Last Sold $305,000 in Dec 1998", ,House: 3  2  2 ,Land size: 318 sqm | Building size: 282 sqm
79,220 Myers Street,"Sold $535,000 in 06 Apr 2019(Auction)","Last Sold $350,000 in Oct 2011",Rent $400pw in Sep 2019,House: 2  1  1 ,Land size: 180 sqm | Building size: 64 sqm
80,9/17a The Esplanade,"Sold $599,000 in Mar 2019", ,Rent $380pw in May 2019, ,Land size: 978 sqm
81,3/44 Myers Street,"Sold $500,000 in Mar 2019", ,Rent $380pw in Mar 2019, ,Land size: 48 sqm
82,21 Alexandra Avenue,"Sold $805,000 in Mar 2019", ,Rent $320pw in Oct 2016,House: 3  2  ,Land size: 460 sqm
83,8/4 Fitzroy Street,"Sold $338,600 in Mar 2019","Last Sold $297,000 in Nov 2012",Rent $270pw in Jun 2018,House: 1  1  1 ,Land size: 799 sqm
84,701/8 Gheringhap Street,"Sold $430,000 in Mar 2019","Last Sold $380,000 in Dec 2013", , ,Land size: 776 sqm | Building size: 75 sqm
85,4 Richmond Crescent,"Sold $840,000 in 02 Mar 2019(Auction)","Last Sold $570,000 in Mar 2011",Rent $550pw in Mar 2018,House: 4  2  3 ,Land size: 642 sqm | Building size: 170 sqm
86,2 Hope Street,"Sold $680,000 in Mar 2019","Last Sold $80,000 in Apr 1996",Rent $430pw in Nov 2018,House: 3  2  2 ,Land size: 217 sqm
87,1104/44 Ryrie Street,"Sold $685,000 in Feb 2019", , , , 
88,1204/44 Ryrie Street,"Sold $735,000 in Feb 2019", , , , 
89,1303/44 Ryrie Street,"Sold $785,000 in Feb 2019", , , , 
90,1403/44 Ryrie Street,"Sold $895,000 in Feb 2019", , , , 
91,1101/44 Ryrie Street,"Sold $1,788,950 in Feb 2019", , , , 
92,5/250 Malop Street,"Sold $749,000 in Feb 2019","Last Sold $552,000 in Jun 2015(Auction)", ,House: 3  1  2 ,Land size: 304 sqm
93,1/96 Mercer Street,"Sold $445,000 in Feb 2019","Last Sold $355,000 in Jun 2013",Rent $370pw in Feb 2019, ,Land size: 716 sqm | Building size: 82 sqm
94,101/8-10 McLarty Place,"Sold $547,500 in Feb 2019", , , ,Land size: 565 sqm
95,2/67 Sydney Parade,"Sold $690,000 in 16 Feb 2019(Auction)","Last Sold $495,000 in Feb 2011",Rent $450pw in Nov 2014, ,Land size: 210 sqm | Building size: 155 sqm
96,1/17 Brownbill Street,"Sold $520,000 in Feb 2019","Last Sold $325,000 in Jun 2008", ,Townhouse: 2  1  1 ,Land size: 298 sqm
97,3/242 Ryrie Street,"Sold $850,000 in Feb 2019","Last Sold $195,000 in Dec 2001", ,Townhouse: 3  3  2 ,Land size: 174 sqm
98,18-20 Cavendish Street,"Sold $599,900 in Feb 2019", , , ,"Land size: 2,032 sqm"
99,17 England Street,"Sold $1,345,000 in Feb 2019","Last Sold $1,300,000 in Jul 2017(Auction)",Rent $900pw in May 2019,House: 3  2  1 ,Land size: 119 sqm
100,14 Ryrie Street,"Sold $725,000 in Feb 2019","Last Sold $595,000 in Jun 2014", ,House: 4  1  3 ,Land size: 548 sqm | Building size: 175 sqm
101,297A Malop (cnr Pevensey Crs) Street,"Sold $495,000 in Jan 2019", , ,Townhouse: 2  1  , 
102,370 Ryrie Street,"Sold $837,000 in Jan 2019","Last Sold $77,000 in Apr 1987", ,House: 3  1  2 ,Land size: 506 sqm
103,15 Adams Place,"Sold $633,000 in Jan 2019","Last Sold $545,000 in Jul 2011",Rent $460pw in Oct 2017,Townhouse: 3  1  2 ,Land size: 182 sqm | Building size: 141 sqm
104,82 Fitzroy Street,"Sold $785,000 in Dec 2018","Last Sold $575,000 in Feb 2014(Auction)",Rent $400pw in Feb 2010,House: 3  2  2 ,Land size: 132 sqm | Building size: 126 sqm
