,address,sold,last sold,rent,house_info,land_size
43,18 Latitude Street,"Sold $485,000 in Feb 2020", ,Rent $395pw in Nov 2017,House: 3  2  2 ,Land size: 349 sqm
44,57 Aviation Drive,"Sold $540,000 in Feb 2020", , , ,Land size: 462 sqm
45,8 Pascal Crescent,"Sold $455,500 in Feb 2020", , , ,Land size: 720 sqm
46,Lot 2539/36 Cabane Circuit,"Sold $279,500 in Feb 2020", , , , 
47,Lot 215 Rubicon Avenue,"Sold $495,000 in Feb 2020", , ,House: , 
48,Lot 354 Glenrock Street,"Sold $273,000 in Feb 2020", , , , 
49,2 Elevon Way,"Sold $550,000 in Feb 2020", ,Rent $460pw in Apr 2020,House: 4  2  2 ,Land size: 507 sqm
50,46 Unity Drive,"Sold $820,000 in Feb 2020", , ,House: ,Land size: 507 sqm
51,16 Altitude Street,"Sold $570,000 in Feb 2020", , ,House: ,Land size: 448 sqm
52,Lot 258 Grevillea Drive,"Sold $225,000 in Feb 2020", , , , 
53,344 McCubbin drive,"Sold $273,500 in Feb 2020", , , , 
54,18 Lunar Street,"Sold $585,000 in Jan 2020", , ,House: 3  2  2 ,Land size: 349 sqm
55,47 Unity Drive,"Sold $740,000 in Jan 2020", , ,House: 4  2  2 ,Land size: 512 sqm
56,54 Unity Drive,"Sold $672,000 in Dec 2019", , ,House: ,Land size: 480 sqm
57,20 CONCORDE Street,"Sold $546,000 in Dec 2019","Last Sold $164,900 in Mar 2016", , ,Land size: 350 sqm
58,24 GULFSTREAM Avenue,"Sold $530,000 in Dec 2019","Last Sold $170,900 in Apr 2015", , ,Land size: 399 sqm
59,9 CONQUEST Street,"Sold $740,000 in Dec 2019","Last Sold $219,900 in Apr 2015", , ,Land size: 575 sqm
60,Lot 27 Ficus Place,"Sold $222,000 in Dec 2019", , , , 
61,5 Latitude Street,"Sold $583,000 in Dec 2019", , ,House: ,Land size: 400 sqm
62,23 Celestial Way,"Sold $542,000 in Nov 2019", ,Rent $490pw in Nov 2019,House: 4  2  2 ,Land size: 350 sqm
63,28 Armstrong Boulevard,"Sold $690,000 in Nov 2019","Last Sold $244,900 in May 2013", , ,Land size: 629 sqm
64,52 Unity Drive,"Sold $650,000 in Nov 2019", , ,House: 4  2  2 ,Land size: 484 sqm
65,20 Efficient Avenue,"Sold $550,000 in Nov 2019", , ,House: 4  2  2 ,Land size: 390 sqm
66,731 Heathcote Street,"Sold $430,377 in Nov 2019", , ,House: 3  2  1 , 
67,44 Streeton Drive,"Sold $464,990 in Oct 2019", , ,House: 4  2  2 , 
68,28 Galactic Street,"Sold $770,000 in Oct 2019", , ,House: 5  2  2 ,Land size: 447 sqm
69,10 LUNAR Street,"Sold $490,000 in Oct 2019","Last Sold $167,900 in Jan 2015", ,House: 3  2  2 ,Land size: 367 sqm
70,12 Roosevelt Road,"Sold $460,000 in Oct 2019", , ,House: ,Land size: 286 sqm
71,104 Lower Duneed Road,"Sold $1,004,999 in Oct 2019","Last Sold $325,000 in Oct 2011", ,House: 4  2  6 ,"Land size: 17,479 sqm | Building size: 177 sqm"
72,Lot 44 Streeton Drive,"Sold $464,990 in Oct 2019", , ,House: 4  2  2 , 
73,6 Golden Wattle Drive,"Sold $580,000 in Oct 2019","Last Sold $178,900 in Apr 2014", ,House: 4  2  2 ,Land size: 447 sqm
74,28 Aspect Road,"Sold $490,000 in Oct 2019", , ,House: 3  2  2 ,Land size: 377 sqm
75,25 AVIATION Drive,"Sold $550,000 in Oct 2019","Last Sold $192,900 in Mar 2016", , ,Land size: 447 sqm
76,13 Decalage Street,"Sold $760,000 in Sep 2019", , ,House: 5  2  2 ,Land size: 576 sqm
77,28 Connect Way,"Sold $590,000 in Sep 2019", , ,House: 4  2  ,Land size: 447 sqm
78,Lot 92 11 Honeyeater Way,"Sold $235,000 in Sep 2019", , , , 
79,4 SPECTRUM Drive,"Sold $480,000 in Sep 2019","Last Sold $402,000 in Apr 2017", ,House: 3  2  1 ,Land size: 288 sqm
80,Lot 249 Telopea Street,"Sold $261,000 in Sep 2019", , , , 
81,Lot 125 Hakea Place,"Sold $297,000 in Sep 2019", , , , 
82,Lot 183 Citrinus Avenue,"Sold $215,000 in Sep 2019", , , , 
83,83 Unity Drive,"Sold $620,000 in Aug 2019", , ,House: 4  2  2 ,Land size: 447 sqm
84,24 Velocity Way,"Sold $565,000 in Aug 2019", , ,House: 4  2  2 ,Land size: 399 sqm
85,46 ASPECT Road,"Sold $448,000 in Aug 2019","Last Sold $127,900 in Apr 2015", ,House: 3  2  2 ,Land size: 279 sqm
86,2418/40 Conquest,"Sold $530,000 in Aug 2019", , ,House: 4  2  ,Land size: 350 sqm
87,27 Tutor Street,"Sold $549,000 in Aug 2019", , ,House: 4  2  2 ,Land size: 392 sqm | Building size: 222 sqm
88,Lot 260 Grevillea Drive,"Sold $215,000 in Aug 2019", , , , 
89,14 Spectrum Drive,"Sold $557,000 in Aug 2019", , ,House: 4  2  2 ,Land size: 474 sqm
90,6 Glider Street,"Sold $550,000 in Aug 2019", , ,House: 4  2  2 ,Land size: 350 sqm
91,5 Concorde Street,"Sold $510,000 in Aug 2019", ,Rent $410pw in Feb 2019,House: 4  2  2 ,Land size: 450 sqm
92,105 Flourish Drive,"Sold $280,000 in Aug 2019", , , ,Land size: 427 sqm
93,22 Connect Way,"Sold $610,000 in Aug 2019", , ,House: 4  2  2 ,Land size: 512 sqm
94,21 Manna Gum Drive,"Sold $720,000 in Aug 2019","Last Sold $228,900 in Feb 2000", ,House: 4  2  2 ,Land size: 692 sqm
95,8 Altitude Street,"Sold $582,500 in Jul 2019", , ,House: 4  2  2 ,Land size: 448 sqm
96,58 Armstrong Boulevard,"Sold $730,000 in Jul 2019","Last Sold $238,900 in Feb 2000", ,House: 4  2  2 ,Land size: 600 sqm
97,36 Connect Way,"Sold $260,000 in Jul 2019", , , ,Land size: 398 sqm
98,12 Aviation Drive,"Sold $397,500 in Jul 2019", ,Rent $380pw in Aug 2019,House: 2  1  1 ,Land size: 194 sqm
99,11 Altitude Street,"Sold $310,000 in Jul 2019", , , ,Land size: 511 sqm
100,800 Blackgate Road,"Sold $1,750,000 in Jul 2019","Last Sold $132,000 in Dec 2000", , ,"Land size: 18,288 sqm"
101,84 Sovereign Drive,"Sold $495,000 in Jun 2019", ,Rent $440pw in Sep 2017,House: 4  2  2 ,Land size: 294 sqm
102,32 Remarkable Drive,"Sold $485,000 in Jun 2019", , ,House: 3  2  2 ,Land size: 212 sqm
103,31 Tutor Street,"Sold $300,000 in Jun 2019", , , ,Land size: 482 sqm
104,19 Neon Avenue,"Sold $520,000 in Jun 2019", , ,House: 3  2  2 ,Land size: 448 sqm
105,25 Remarkable Drive,"Sold $660,000 in Jun 2019","Last Sold $199,900 in Jul 2013", ,House: 4  2  2 ,Land size: 539 sqm
106,57 Golden Wattle Drive,"Sold $485,000 in Jun 2019","Last Sold $405,000 in Feb 2017", ,House: 3  2  2 ,Land size: 350 sqm
107,9 VELOCITY WAY,"Sold $435,000 in Jun 2019","Last Sold $122,500 in Nov 2015", ,House: 3  2  1 ,Land size: 262 sqm | Building size: 130 sqm
108,44-46 Sovereign Drive,"Sold $600,000 in Jun 2019", , ,House: 5  3  2 ,Land size: 563 sqm
109,60 Armstrong Boulevard,"Sold $770,000 in Jun 2019","Last Sold $221,900 in Mar 2013", ,House: 5  3  2 ,Land size: 527 sqm | Building size: 398 sqm
110,134 Sovereign Drive,"Sold $482,500 in May 2019","Last Sold $369,900 in Dec 2015", ,House: 3  2  2 ,Land size: 263 sqm | Building size: 157 sqm
111,18 Eaton Road,"Sold $510,000 in May 2019", , ,House: 3  2  3 ,Land size: 391 sqm
112,Lot 89 6 Yellow Gum Way,"Sold $305,000 in May 2019","Last Sold $239,000 in Dec 2017", , , 
113,4 Glider Street,"Sold $551,000 in May 2019", ,Rent $500pw in Jun 2019,House: 4  2  2 ,Land size: 391 sqm
114,6 RUNWAY Street,"Sold $495,000 in May 2019","Last Sold $129,390 in Aug 2016", ,House: 4  2  2 ,Land size: 294 sqm
