,address,sold,last sold,rent,house_info,land_size
249,4 Taylor Court,"Sold $1,340,000 in Aug 2019","Last Sold $60,000 in May 1982",Rent $500pw in Feb 2020,House: 4  2  2 ,"Land size: 2,304 sqm"
250,35 Dryden Way,"Sold $767,000 in Aug 2019","Last Sold $268,000 in Nov 2014", ,House: 4  2  2 ,Land size: 647 sqm
251,7 Northbridge Road,"Sold $615,000 in Aug 2019","Last Sold $320,000 in Jan 2013", ,House: 4  2  2 ,Land size: 357 sqm
252,20 Stanbury Avenue,"Sold $755,000 in Aug 2019","Last Sold $215,002 in Apr 2007", ,House: 4  2  2 ,Land size: 885 sqm
253,101 Belle Vue Avenue,"Sold $675,000 in 10 Aug 2019(Auction)","Last Sold $390,000 in Nov 2013",Rent $375pw in Jul 2013,House: 3  1  2 ,Land size: 706 sqm | Building size: 121 sqm
254,27 Cara Road,"Sold $735,000 in Aug 2019","Last Sold $236,000 in Feb 2001", ,House: 4  2  2 ,Land size: 837 sqm | Building size: 180 sqm
255,14 Galloway Court,"Sold $685,000 in Jul 2019","Last Sold $253,000 in Mar 2000", ,House: 4  2  2 ,Land size: 466 sqm
256,7 Lipizzaner Court,"Sold $720,000 in Jul 2019", ,Rent $550pw in Oct 2015,House: 4  3  2 ,Land size: 673 sqm
257,5 Caroline Street,"Sold $730,000 in Jul 2019", , ,House: 4  2  6 ,Land size: 718 sqm
258,13 Roycroft Avenue,"Sold $500,000 in Jul 2019","Last Sold $111,000 in Jan 1998", ,House: 3  1  2 ,Land size: 652 sqm
259,123a Thornhill Road,"Sold $421,250 in Jul 2019","Last Sold $382,000 in Sep 2017",Rent $270pw in May 2009, ,Land size: 325 sqm | Building size: 99 sqm
260,14 Adelaide Street,"Sold $523,000 in 13 Jul 2019(Auction)", ,Rent $310pw in Oct 2013,House: 3  1  1 ,Land size: 737 sqm
261,6 Molesworth Drive,"Sold $835,000 in 13 Jul 2019(Auction)","Last Sold $792,000 in Jan 2018", ,House: 5  2  2 ,Land size: 715 sqm | Building size: 247 sqm
262,18/27 Montague Street,"Sold $368,000 in Jul 2019","Last Sold $257,000 in Dec 2012",Rent $270pw in Feb 2015, ,Land size: 65 sqm | Building size: 69 sqm
263,10 Radstock Avenue,"Sold $265,000 in Jul 2019", , , ,Land size: 803 sqm
264,21 Montpellier Drive,"Sold $655,000 in Jul 2019","Last Sold $95,000 in May 1995",Rent $460pw in Sep 2019,House: 4  2  3 ,Land size: 597 sqm
265,12 Lipizzaner Court,"Sold $525,000 in Jul 2019","Last Sold $227,000 in Jun 2001", ,House: 3  2  2 ,Land size: 512 sqm
