Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
19 Shearwater Drive,481000,Nov 2020,189500.0,May 2017,,380,May 2018,420,,4.0,2.0,2.0,Armstrong Creek,1
6 ACKLAND Street,580000,Nov 2020,169000.0,Nov 2015,,,,456,,4.0,2.0,2.0,Armstrong Creek,1
199 Warralily Boulevard,582500,Nov 2020,162000.0,Dec 2015,,410,Dec 2018,476,,4.0,2.0,2.0,Armstrong Creek,1
2 Hooper Street,650000,Nov 2020,,,,,,560,,4.0,2.0,2.0,Armstrong Creek,1
20-22 Daybreak Avenue,565000,Nov 2020,,,,,,,,,,,Armstrong Creek,1
10 Burgess Avenue,455000,Nov 2020,,,,,,237,,,,,Armstrong Creek,1
14 Lismore Street,515000,Nov 2020,,,,,,350,,4.0,2.0,2.0,Armstrong Creek,1
13 McKinley Avenue,480000,Nov 2020,,,,,,236,,3.0,2.0,1.0,Armstrong Creek,1
17 Miramar Drive,279000,Nov 2020,,,,,,399,,,,,Armstrong Creek,1
12 Whitfords Drive,630000,Oct 2020,625000.0,Jul 2018,,,,505,227.0,4.0,2.0,2.0,Armstrong Creek,1
66 Creekward Drive,560000,Oct 2020,149000.0,Apr 2013,,390,May 2014,465,164.0,4.0,2.0,2.0,Armstrong Creek,1
23 Crystall Place,525000,Oct 2020,420000.0,Sep 2017,,,,400,129.0,3.0,2.0,2.0,Armstrong Creek,1
26 Jacana Way,596000,Oct 2020,,,,,,400,,4.0,2.0,2.0,Armstrong Creek,1
14 Cleary Street,567000,Oct 2020,,,,,,479,,3.0,2.0,2.0,Armstrong Creek,1
25 Sophie Way,525000,Oct 2020,,,,,,353,,4.0,2.0,2.0,Armstrong Creek,1
22 Jindabyne Street,665000,Oct 2020,,,,,,506,,4.0,2.0,2.0,Armstrong Creek,1
9 Beard Street,465000,Oct 2020,,,,,,276,,,,,Armstrong Creek,1
11 Coastside Drive,803000,Oct 2020,655000.0,Nov 2017,,,,451,345.0,5.0,3.0,2.0,Armstrong Creek,1
2179 Warralily Boulevard,599000,Oct 2020,,,,,,448,,,,,Armstrong Creek,1
17 Esperance Avenue,509000,Oct 2020,,,,,,400,,3.0,2.0,2.0,Armstrong Creek,1
5 Jacana Way,575000,Oct 2020,,,,,,314,,4.0,2.0,2.0,Armstrong Creek,1
21 Jindabyne Street,520000,Oct 2020,,,,,,336,,,,,Armstrong Creek,1
203/28 Atherton Street,275000,Oct 2020,,,,,,,,,,,Armstrong Creek,1
15 Maroubra Street,716000,Oct 2020,585000.0,Jul 2017,,,,511,,4.0,2.0,2.0,Armstrong Creek,1
24 Freshwater Drive,770000,Oct 2020,218000.0,Aug 2010,,,,601,267.0,4.0,3.0,2.0,Armstrong Creek,1
LOT 4311 Currumbin Street,447504,Oct 2020,,,,,,290,,3.0,2.0,1.0,Armstrong Creek,1
4 Haven Court,434000,Oct 2020,,,,,,167,,3.0,2.0,2.0,Armstrong Creek,1
11 Haven Court,432000,Oct 2020,,,,,,167,,3.0,2.0,2.0,Armstrong Creek,1
135 Warralily Boulevard,535000,Oct 2020,175000.0,Apr 2012,,360,Aug 2017,532,154.0,,,,Armstrong Creek,1
6 Summerbreeze Way,687500,Oct 2020,,,,,,528,,,,,Armstrong Creek,1
14 Romley Avenue,499000,Oct 2020,,,,,,348,,3.0,2.0,1.0,Armstrong Creek,1
65 Carter Road,474000,Oct 2020,,,,,,168,,,,,Armstrong Creek,1
44 Monterey Street,459000,Oct 2020,,,,,,185,,,,,Armstrong Creek,1
40 Monterey Street,459000,Oct 2020,,,,,,185,,,,,Armstrong Creek,1
17 Maroubra Street,635000,Oct 2020,545000.0,Jul 2017,,,,512,,4.0,2.0,2.0,Armstrong Creek,1
20 Daybreak Avenue,565000,Oct 2020,497500.0,Jun 2019,,400,Apr 2016,385,,4.0,2.0,2.0,Armstrong Creek,1
9 Tenneyson Close,550000,Oct 2020,390000.0,Jul 2016,,400,Nov 2014,504,170.0,4.0,2.0,2.0,Armstrong Creek,1
Lot 524/99 Naturaliste Way,252010,Oct 2020,,,,,,,,,,,Armstrong Creek,1
12 Delta Drive,520000,Oct 2020,158000.0,Jun 2012,,,,400,,,,,Armstrong Creek,1
13 Seal Street,565000,Oct 2020,,,,,,391,,4.0,2.0,2.0,Armstrong Creek,1
141 Ambrosia Drive,277000,Oct 2020,,,,,,400,,,,,Armstrong Creek,1
241 Warralily Boulevard,531000,Oct 2020,,,,440,Apr 2019,398,,4.0,2.0,2.0,Armstrong Creek,1
17 Lismore Street,540000,Oct 2020,,,,,,369,,4.0,2.0,2.0,Armstrong Creek,1
11 Tamarillo Street,685000,Oct 2020,174000.0,Oct 2013,,,,447,262.0,,,,Armstrong Creek,1
7 Seifferts Street,512000,Oct 2020,179500.0,Jun 2012,,,,447,,,,,Armstrong Creek,1
Lot 1524 Chamberlan Drive,489990,Sep 2020,,,,,,336,,4.0,2.0,2.0,Armstrong Creek,1
Lot 740 Fawkner Crescent,442990,Sep 2020,,,,,,313,,3.0,2.0,2.0,Armstrong Creek,1
27 Shearwater Drive,475000,Sep 2020,158000.0,Sep 2016,,380,Apr 2018,336,,4.0,2.0,2.0,Armstrong Creek,1
66 Carter Road,474000,Sep 2020,,,,,,184,,,,,Armstrong Creek,1
49 Monterey Street,459000,Sep 2020,,,,,,172,,3.0,2.0,2.0,Armstrong Creek,1
33 Monterey Street,459000,Sep 2020,,,,,,185,,,,,Armstrong Creek,1
Lot 8014/19 Sail Court,340000,Sep 2020,,,,,,544,,,,,Armstrong Creek,1
Lot 8014 19 Sail Court,340000,Sep 2020,,,,,,,,,,,Armstrong Creek,1
Lot 11803 18-22 Reeve Avenue,422500,Sep 2020,,,,,,696,,,,,Armstrong Creek,1
Lot 11803/18-22 Reeve Avenue,422500,Sep 2020,,,,,,696,,,,,Armstrong Creek,1
10 Simony Drive,459900,Sep 2020,,,,,,284,,3.0,2.0,1.0,Armstrong Creek,1
1 Lyall Street,550000,Sep 2020,,,,,,367,,3.0,2.0,2.0,Armstrong Creek,1
7 Cloudbreak Street,600000,Sep 2020,175000.0,Jul 2014,,,,442,,4.0,2.0,,Armstrong Creek,1
45 Carter Road,538000,Sep 2020,365000.0,Aug 2016,,360,May 2015,484,153.0,4.0,2.0,2.0,Armstrong Creek,1
8 Summerbreeze Way,630000,Sep 2020,199500.0,Apr 2013,,,,528,189.0,,,,Armstrong Creek,1
