Suburb,Suburb_Code,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,School,Shop,Restaurant,Station,Park,Hospital,Rent Amount PW,Auction,Last Sell Date,Last Sell Price,Sell Date,Sell Price
Armstrong Creek,1,336.0,157.80025348542458,4.0,2.0,2.0,4,17,6,12,3,0,380.0,0.0,2016-09-01,158000.0,2020-09-01,475000
Armstrong Creek,1,442.0,157.80025348542458,4.0,2.0,2.0,2,3,4,15,3,0,800.847867054994,0.0,2014-07-01,175000.0,2020-09-01,600000
Armstrong Creek,1,484.0,153.0,4.0,2.0,2.0,4,18,4,15,3,0,360.0,0.0,2016-08-01,365000.0,2020-09-01,538000
Armstrong Creek,1,528.0,189.0,3.0,1.0,2.0,0,3,4,13,3,0,800.847867054994,0.0,2013-04-01,199500.0,2020-09-01,630000
Armstrong Creek,1,568.0,239.0,3.0,1.0,2.0,4,16,6,15,4,0,800.847867054994,0.0,2013-05-01,200000.0,2020-09-01,670000
Armstrong Creek,1,511.0,157.80025348542458,4.0,2.0,2.0,4,6,8,14,3,0,400.0,0.0,2017-02-01,205000.0,2020-09-01,580000
Armstrong Creek,1,508.0,218.0,3.0,1.0,2.0,4,16,7,14,3,0,800.847867054994,0.0,2013-11-01,161000.0,2020-09-01,607500
Armstrong Creek,1,336.0,157.80025348542458,3.0,2.0,2.0,1,5,5,12,3,0,390.0,0.0,2015-03-01,147000.0,2020-09-01,503000
Armstrong Creek,1,447.0,157.80025348542458,4.0,2.0,2.0,1,3,4,14,3,0,440.0,0.0,2015-11-01,187000.0,2020-09-01,545000
Armstrong Creek,1,276.0,157.80025348542458,3.0,2.0,1.0,4,8,7,11,4,0,350.0,0.0,2017-08-01,364000.0,2020-09-01,445000
Armstrong Creek,1,399.0,138.0,3.0,2.0,2.0,3,17,7,14,4,0,395.0,0.0,2012-06-01,153000.0,2020-09-01,475000
Armstrong Creek,1,447.0,152.0,3.0,1.0,2.0,4,16,6,15,4,0,800.847867054994,0.0,2010-12-01,167000.0,2020-09-01,530500
