date,pm25,pm10,o3,no2,so2,co
14/09/2020,28,29,21,5,,1
15/09/2020,35,32,20,8,,1
16/09/2020,35,17,20,5,,1
17/09/2020,22,17,20,4,,1
18/09/2020,17,17,25,5,,1
19/09/2020,32,6,27,1,,1
20/09/2020,13,19,23,3,,
21/09/2020,18,24,20,3,,
22/09/2020,19,9,22,1,,
23/09/2020,11,8,21,3,3,
24/09/2020,10,6,19,3,,1
25/09/2020,16,8,22,,,
26/09/2020,14,13,24,3,,
27/09/2020,23,15,24,6,,1
28/09/2020,23,21,20,9,,2
29/09/2020,29,11,20,4,,1
30/09/2020,12,22,21,3,,
1/04/2020,35,13,18,5,,1
2/04/2020,31,10,22,5,,1
3/04/2020,24,5,19,1,,
4/04/2020,19,8,16,,,1
5/04/2020,15,12,16,2,,
6/04/2020,14,15,17,5,,
7/04/2020,17,8,15,2,,
8/04/2020,11,12,17,6,,
9/04/2020,23,12,20,4,,
10/04/2020,32,14,18,,,
11/04/2020,30,9,19,1,,
12/04/2020,19,12,21,3,,
13/04/2020,17,22,9,14,,1
14/04/2020,46,27,20,11,,1
15/04/2020,45,14,17,4,,
16/04/2020,26,13,18,1,,
17/04/2020,18,9,17,1,,
18/04/2020,12,7,21,1,,
19/04/2020,25,19,19,4,,
20/04/2020,31,22,17,7,,
21/04/2020,35,20,19,4,,7
22/04/2020,33,26,13,10,,2
23/04/2020,34,18,12,8,,3
24/04/2020,38,20,19,5,,2
25/04/2020,43,12,18,2,,1
26/04/2020,27,18,17,8,,1
27/04/2020,27,17,18,9,,3
28/04/2020,33,6,15,5,2,1
29/04/2020,16,7,18,3,,1
30/04/2020,11,6,20,1,,
1/05/2020,16,9,20,,,
2/05/2020,24,17,18,1,,1
3/05/2020,33,8,15,5,,1
4/05/2020,16,8,13,11,,3
5/05/2020,31,22,16,8,,2
6/05/2020,42,30,17,5,1,1
7/05/2020,28,18,16,8,,1
8/05/2020,28,3,20,1,,
9/05/2020,21,2,18,1,,
10/05/2020,14,8,16,5,,1
11/05/2020,18,15,15,6,,1
12/05/2020,18,8,16,6,,
13/05/2020,24,15,17,7,,
14/05/2020,23,19,17,10,,2
15/05/2020,25,20,17,10,,3
18/05/2020,35,12,13,5,3,1
19/05/2020,20,10,17,4,,
20/05/2020,16,11,18,4,,
21/05/2020,23,22,15,9,,1
22/05/2020,34,7,17,4,,
23/05/2020,28,11,23,4,,
24/05/2020,21,17,18,8,,1
25/05/2020,39,19,7,11,,3
26/05/2020,46,21,10,11,,3
27/05/2020,54,15,15,9,,1
28/05/2020,25,17,16,9,,
29/05/2020,31,8,20,3,1,
30/05/2020,20,15,20,2,,
