,date,mintemp,maxtemp,rainfall,dir_maxgust,spd_maxgust,time_maxgust,9am_temp,9am_rh,9am_wd,9am_ws,9am_mslp,3pm_temp,3pm_rh,3pm_wd,3pm_ws,3pm_mslp,pm25,pm10,o3,no2,so2,co
66,2014-03-07,10.2,22.6,0.0,SSE,35.0,14:04:00,14.8,84.0,NW,6.0,1022.1,20.0,78.0,SE,22.0,1022.1,23.0,18.0,15.0,2.0,2.0,2.0
67,2014-03-09,12.7,32.8,0.0,ENE,31.0,22:18:00,18.6,89.0,NE,9.0,1018.8,31.8,23.0,NE,9.0,1015.3,23.0,28.0,28.0,5.0,1.0,1.0
68,2014-03-10,16.9,32.2,0.2,S,30.0,12:12:00,22.9,44.0,WSW,4.0,1017.5,24.4,47.0,SSE,15.0,1018.8,23.0,21.0,21.0,8.0,2.0,2.0
69,2014-03-11,15.1,34.0,0.2,WNW,48.0,17:16:00,21.6,69.0,NNE,11.0,1017.6,29.8,39.0,NNE,7.0,1014.5,23.0,23.0,14.0,3.0,1.0,1.0
70,2014-03-12,13.4,20.2,1.8,S,31.0,16:00:00,15.2,88.0,WSW,11.0,1020.8,19.0,52.0,S,9.0,1020.9,23.0,18.0,16.0,5.0,1.0,1.0
71,2014-03-13,9.0,21.9,0.0,SSE,26.0,14:18:00,13.5,81.0,WNW,4.0,1021.2,20.3,51.0,NE,9.0,1018.5,23.0,19.0,22.0,7.0,3.0,1.0
72,2014-03-14,11.8,25.1,0.0,S,28.0,14:19:00,17.4,87.0,Calm,0.0,1015.9,24.8,50.0,NE,9.0,1010.9,23.0,26.0,17.0,4.0,1.0,1.0
73,2014-03-15,15.2,29.0,0.0,WNW,72.0,15:12:00,21.5,37.0,N,9.0,1004.4,27.9,32.0,NNW,30.0,997.3,23.0,22.0,16.0,2.0,2.0,1.0
74,2014-03-16,11.8,20.3,9.0,W,52.0,11:48:00,13.3,70.0,WNW,15.0,1005.2,19.0,42.0,W,30.0,1005.2,23.0,9.0,16.0,3.0,2.0,1.0
75,2014-03-17,13.3,24.6,0.0,NW,52.0,10:14:00,18.0,70.0,NNW,19.0,1010.5,23.9,44.0,W,24.0,1011.1,23.0,11.0,17.0,4.0,2.0,1.0
76,2014-03-18,12.6,25.4,0.0,NW,46.0,13:22:00,14.6,80.0,NW,7.0,1019.3,23.6,38.0,W,19.0,1018.8,23.0,16.0,17.0,5.0,5.0,1.0
77,2014-03-19,10.5,21.3,0.0,S,31.0,15:29:00,13.6,86.0,WNW,7.0,1027.5,20.2,51.0,SE,17.0,1026.2,23.0,22.0,31.0,9.0,6.0,2.0
